T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
6.891808319817698258e-01,7.221381026917308432e-01,-5.955116682066629447e-02,-1.982976174899131472e-01,-7.219350295770587955e-01,6.913615062793646571e-01,2.879376155870014969e-02,-1.121794344756838202e-01,6.196445673518739122e-02,2.314796483311641617e-02,9.978098906232579779e-01,2.715160190016607800e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.883454691497541411e-01,7.229151688936354958e-01,-5.978439331875459034e-02,-1.985174889823783373e-01,-7.225982525672400847e-01,6.905849185280656943e-01,3.072841825340410019e-02,-1.120485712070170559e-01,6.350024006077586991e-02,2.204833066405533296e-02,9.977382375288381677e-01,2.744336015638459969e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.875196421913511990e-01,7.236745924456096102e-01,-6.009846794850306345e-02,-1.987396904903365180e-01,-7.232800738496556470e-01,6.898091483656557665e-01,3.208229423039087730e-02,-1.119702116130878861e-01,6.467361419553581403e-02,2.141081688608846220e-02,9.976767515318563095e-01,2.766987088377392823e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.869334158432670590e-01,7.242015054103974059e-01,-6.045379855075931619e-02,-1.988952556354390278e-01,-7.238010358799906729e-01,6.892514346850759921e-01,3.231903840799277977e-02,-1.119010082756476954e-01,6.507336365175823978e-02,2.155549456354764748e-02,9.976476422049858073e-01,2.781246081703825368e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.861129916539967510e-01,7.249744975661083224e-01,-6.050570685788016212e-02,-1.991161579497502110e-01,-7.243721170632455575e-01,6.884988226106201203e-01,3.541761263978654428e-02,-1.117733808237731385e-01,6.733497386139410124e-02,1.952816280552441969e-02,9.975392985504514254e-01,2.816336392493079543e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.853133156124237013e-01,7.256248654537071907e-01,-6.175932382722602865e-02,-1.993456879531686488e-01,-7.249574609934719138e-01,6.878119007500804738e-01,3.676233040029280169e-02,-1.116513902574476497e-01,6.915445896112125401e-02,1.957916805819535921e-02,9.974138143137700752e-01,2.845084541007403267e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.849526235826347564e-01,7.259332580400433832e-01,-6.213540310188209875e-02,-1.994543502118570899e-01,-7.252155445021678526e-01,6.874941944432655383e-01,3.760514086171910797e-02,-1.115825410471644463e-01,7.001655132673852144e-02,1.930382029996407373e-02,9.973590351834875634e-01,2.861590667784064124e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.843957456740946688e-01,7.264124158302956991e-01,-6.266949362164644932e-02,-1.996044323563950229e-01,-7.255311505452123333e-01,6.870220370402216892e-01,4.006582346145756007e-02,-1.114388319454026471e-01,7.215963478109024831e-02,1.804779068744811338e-02,9.972297951623596557e-01,2.899080446627855245e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.840430757713853449e-01,7.267316630983945425e-01,-6.281847132384445198e-02,-1.997030748107864184e-01,-7.257597573775073085e-01,6.867036452993583451e-01,4.136276228584301329e-02,-1.113345918599842888e-01,7.319730227655142640e-02,1.729720737041053058e-02,9.971674691628384934e-01,2.924841950217960118e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.835658863474575186e-01,7.271986769764875458e-01,-6.260801247173709838e-02,-1.998269084674305085e-01,-7.260807431478402130e-01,6.862439850695192245e-01,4.331220827648821214e-02,-1.112238223852501373e-01,7.446095253147931581e-02,1.585172418230476263e-02,9.970979336998713194e-01,2.963692975250920014e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
