m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
3.515565109252929976e-02,-1.241066131591796878e-01,1.642556274414062489e+00,-9.905809402465820881e-03,-7.798307037353516269e-02,1.641217285156250094e+00,9.894496917724610041e-02,-6.777544403076171675e-02,1.655529907226562569e+00,2.742013931274414271e-02,-5.396371841430663840e-02,1.651342407226562559e+00
3.515116500854491982e-02,-1.240744247436523506e-01,1.642509155273437438e+00,-9.914275169372559551e-03,-7.794833374023438233e-02,1.641174682617187575e+00,9.893493652343750278e-02,-6.774870300292969161e-02,1.655574096679687468e+00,2.741194343566894648e-02,-5.394049453735351440e-02,1.651312622070312486e+00
3.516495895385741977e-02,-1.240889053344726572e-01,1.642469482421875071e+00,-9.891147613525391388e-03,-7.795544433593749878e-02,1.641091308593749964e+00,9.895094299316406494e-02,-6.775254058837890114e-02,1.655540161132812438e+00,2.741650962829590005e-02,-5.393811798095703158e-02,1.651328369140625085e+00
3.515052795410156250e-02,-1.240882568359375077e-01,1.642524780273437512e+00,-9.911396026611328861e-03,-7.796163940429687300e-02,1.641188232421874948e+00,9.893782043457031994e-02,-6.775478363037110152e-02,1.655594848632812477e+00,2.741386795043945432e-02,-5.394147109985351907e-02,1.651299316406249940e+00
3.515838241577148165e-02,-1.240903930664062488e-01,1.642484985351562621e+00,-9.904279708862304132e-03,-7.796615600585937722e-02,1.641146972656249980e+00,9.895576477050781194e-02,-6.775455474853515903e-02,1.655524047851562486e+00,2.742136383056640800e-02,-5.395081329345702975e-02,1.651318115234374995e+00
3.515510559082031528e-02,-1.240832824707031323e-01,1.642509277343749963e+00,-9.912939071655272813e-03,-7.796405792236328625e-02,1.641162109374999956e+00,9.894152832031249956e-02,-6.775209045410156283e-02,1.655557250976562589e+00,2.741428565979003862e-02,-5.394324493408203525e-02,1.651322021484375124e+00
3.514875793457031272e-02,-1.240977554321289061e-01,1.642555908203125137e+00,-9.903095245361329124e-03,-7.796896362304688022e-02,1.641176147460937429e+00,9.895062255859375655e-02,-6.775559234619141225e-02,1.655580932617187528e+00,2.741051292419433710e-02,-5.394907379150390425e-02,1.651332397460937518e+00
3.515214157104492448e-02,-1.240840759277343774e-01,1.642515014648437521e+00,-9.910068511962891527e-03,-7.796290588378906872e-02,1.641158935546874975e+00,9.895286560058594305e-02,-6.774803924560547641e-02,1.655481567382812491e+00,2.741370964050292985e-02,-5.394366073608398288e-02,1.651310546875000007e+00
3.514765548706054454e-02,-1.240995788574218717e-01,1.642554443359375060e+00,-9.913146018981933497e-03,-7.797218322753905750e-02,1.641171752929687644e+00,9.894402313232422697e-02,-6.776143646240234686e-02,1.655548950195312452e+00,2.740571022033691517e-02,-5.395579528808593789e-02,1.651332397460937518e+00
3.516296386718750083e-02,-1.241034774780273436e-01,1.642477050781250059e+00,-9.911398887634276927e-03,-7.796768188476563277e-02,1.641173828125000123e+00,9.894525909423827759e-02,-6.776191711425781639e-02,1.655526855468750114e+00,2.741353034973144712e-02,-5.394879531860351934e-02,1.651305908203124950e+00
