T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
5.761802747111774980e-01,8.129711711702890531e-01,-8.422687148268484525e-02,1.299497546845687079e-01,-8.096584655750610482e-01,5.818179975330967091e-01,7.707779751144376579e-02,-4.554327184660982852e-01,1.116667370186379959e-01,2.378429298058228405e-02,9.934610446570233400e-01,-1.254625186470630371e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.762368395321707526e-01,8.129743107248355027e-01,-8.380856082438167820e-02,1.299259419574226304e-01,-8.097324629617423941e-01,5.818103449896346868e-01,7.635483539994682156e-02,-4.553561869740446744e-01,1.108352073660983095e-01,2.386404333974110129e-02,9.935522453517948716e-01,-1.257573416543458222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761058504973262107e-01,8.130383304503507880e-01,-8.408758672514549115e-02,1.299774539437898446e-01,-8.097433697283162868e-01,5.817239378667540262e-01,7.689561296867696016e-02,-4.553882462894079941e-01,1.114348428624732656e-01,2.378935331830847252e-02,9.934869613965313651e-01,-1.255968278210077838e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761944232824243173e-01,8.130068378854887756e-01,-8.378465330639850439e-02,1.300245402377813719e-01,-8.096699401467949420e-01,5.817855664456187403e-01,7.720196045591212752e-02,-4.554311943517065364e-01,1.115104237321344893e-01,2.335457614664482665e-02,9.934887967018504185e-01,-1.254704859796427208e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.762861419342208968e-01,8.129965527282421167e-01,-8.325195413061474425e-02,1.300055874279839041e-01,-8.097244627242294879e-01,5.818013088042380820e-01,7.650837561753524863e-02,-4.554351331861891117e-01,1.106371415055956847e-01,2.332042721887061035e-02,9.935872284776009478e-01,-1.254332117528957902e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761813022030938258e-01,8.130831661502799790e-01,-8.313165410710507408e-02,1.299624078273438066e-01,-8.098653817795633536e-01,5.816716182024074255e-01,7.600126296868309206e-02,-4.553272489158765590e-01,1.101506712943194910e-01,2.353494212504166419e-02,9.936362192032764939e-01,-1.258864904093306425e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761750454279181977e-01,8.129963735379354128e-01,-8.401912663377475443e-02,1.300085797260126519e-01,-8.099584271996688178e-01,5.817279537874577855e-01,7.456496489971935204e-02,-4.552517860451086862e-01,1.094973206721303605e-01,2.508952762455507468e-02,9.936703942299989212e-01,-1.261069238993113295e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761901211759673513e-01,8.130736368693642913e-01,-8.316372578985244124e-02,1.299813833219815029e-01,-8.097243577329060749e-01,5.817116698552169396e-01,7.718806674796503675e-02,-4.554654279274704676e-01,1.111368919542795736e-01,2.286469291901514767e-02,9.935420459469556098e-01,-1.253770146400681185e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761665688259223206e-01,8.131378699015517908e-01,-8.269757855784358458e-02,1.300197071108352698e-01,-8.099632395495600656e-01,5.815978126766333522e-01,7.552175096048664715e-02,-4.552466072088781068e-01,1.095063265101414579e-01,2.346889050898582144e-02,9.937089994724470632e-01,-1.261248921861395367e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.760803430241704381e-01,8.130186223465216688e-01,-8.445210535515609851e-02,1.300230157761668170e-01,-8.097814721406408900e-01,5.817286205895783047e-01,7.645769656930179181e-02,-4.552716228150133215e-01,1.112897378867027942e-01,2.434197413339348956e-02,9.934898401777436661e-01,-1.260784510979890971e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.762873289072530936e-01,8.130415523376350873e-01,-8.280307188355059966e-02,1.299675666945372954e-01,-8.097313669878622999e-01,5.817585629447907802e-01,7.675993588050963878e-02,-4.554866256941799696e-01,1.105804135320154757e-01,2.281246617139073493e-02,9.936053359006622454e-01,-1.254585423429515068e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761891333087184597e-01,8.130767442182789129e-01,-8.314018684337537435e-02,1.299770057997591821e-01,-8.098202831515874944e-01,5.816886096454600974e-01,7.635096859250868617e-02,-4.553048778211009617e-01,1.104408966516958190e-01,2.333601123017936887e-02,9.936086950739886348e-01,-1.259709233232486625e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761262552823855909e-01,8.129326857320677835e-01,-8.496461877006669661e-02,1.299777927962388335e-01,-8.098733579150672046e-01,5.817939738518113080e-01,7.497276925051803154e-02,-4.552733449230546570e-01,1.103797178546354896e-01,2.561680031083611933e-02,9.935593074538460190e-01,-1.260880171566227670e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.760895608771618992e-01,8.129957214760276107e-01,-8.460954266530676393e-02,1.299458195644570546e-01,-8.098336453307345417e-01,5.817395352014709253e-01,7.581939114705951721e-02,-4.553565447712025205e-01,1.108615566312013689e-01,2.484089461452839570e-02,9.935253621403214996e-01,-1.257791280397615452e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.763021212057424236e-01,8.129673911175743228e-01,-8.342593165944778288e-02,1.299569823181951911e-01,-8.098208848013170869e-01,5.818102827994605653e-01,7.541173229958039737e-02,-4.553639596703105141e-01,1.098453441588385648e-01,2.410012050378044363e-02,9.936564721060944239e-01,-1.256273447122386866e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761989150759120326e-01,8.131384325953397996e-01,-8.246635496816974442e-02,1.299281782824016074e-01,-8.097818792556924494e-01,5.816412505980078640e-01,7.711526199076870758e-02,-4.554422086308022033e-01,1.106712171002981054e-01,2.234602960661586160e-02,9.936058256000511735e-01,-1.254359861391938225e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.762603740736290669e-01,8.130638895071334860e-01,-8.277132868362882534e-02,1.298792249101672347e-01,-8.097696460978863753e-01,5.817247973867748501e-01,7.661188134891339097e-02,-4.553643208043676172e-01,1.104404886399246444e-01,2.287731813058463057e-02,9.936194074111712737e-01,-1.257821812750032908e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.762322817236577022e-01,8.130356215487934968e-01,-8.324323151052195890e-02,1.299371641091620622e-01,-8.099122366999389477e-01,5.817147014674718397e-01,7.516764556850459578e-02,-4.552895226726000333e-01,1.095377850024794597e-01,2.410568790508308204e-02,9.936902885041060118e-01,-1.259219610589361604e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761062642185128535e-01,8.130670606119371202e-01,-8.380648707620276527e-02,1.299552508241540449e-01,-8.099450258633035249e-01,5.816539875752460009e-01,7.528408740967824919e-02,-4.551523704061610776e-01,1.099573890535858883e-01,2.450701298975795431e-02,9.936341272857118767e-01,-1.264377995038614699e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.762595899988478543e-01,8.130373277855192926e-01,-8.303727212367954802e-02,1.298839533346979325e-01,-8.097641025251590685e-01,5.817503259540699467e-01,7.647650955657717131e-02,-4.552810144907151746e-01,1.104852170925306049e-01,2.317028009575264683e-02,9.936076463696829064e-01,-1.260251759344572786e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
