T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
9.630287271933779536e-01,1.088321735873122170e-01,2.464370682193809392e-01,-1.096194458007812567e-01,1.114611173805549887e-01,-9.937633176028262127e-01,3.299681697165001565e-03,-1.444637603759765521e-01,2.452592300252547375e-01,2.429046272275615925e-02,-9.691531785575144831e-01,1.933352661132812456e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630604145458040444e-01,1.088058863404580412e-01,2.463248201715200481e-01,-1.096191329956054672e-01,1.114059170355586326e-01,-9.937691719407953928e-01,3.399198372042616309e-03,-1.444505615234374929e-01,2.451598653620339074e-01,2.416840908652447689e-02,-9.691813702387680474e-01,1.933343017578124989e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.629624397070213337e-01,1.089324598119259524e-01,2.466516955401369393e-01,-1.096330261230468728e-01,1.114241335958505441e-01,-9.937653838437423559e-01,3.876122587548685994e-03,-1.444493865966796908e-01,2.455361524621482716e-01,2.375039101199789837e-02,-9.690964434775632963e-01,1.933365722656249952e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.631157894094399818e-01,1.088696767478970207e-01,2.460800066544203968e-01,-1.096311874389648416e-01,1.115640257448365091e-01,-9.937526925537245592e-01,3.009020077697033974e-03,-1.444634704589843888e-01,2.448702602396555517e-01,2.455564145020326661e-02,-9.692448483861713093e-01,1.933358032226562440e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.631051948492326265e-01,1.091452315347944679e-01,2.459993944863245185e-01,-1.096196594238281335e-01,1.114911875211616887e-01,-9.937556178378765814e-01,4.414421908007505960e-03,-1.444533081054687473e-01,2.449450933567426381e-01,2.317521194890873742e-02,-9.692599294263537502e-01,1.933296875000000137e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.627970408446797634e-01,1.085735620242628818e-01,2.474543185521162481e-01,-1.096171951293945374e-01,1.114635831883079575e-01,-9.937657561946942053e-01,2.343381661465412241e-03,-1.444525299072265678e-01,2.461660572937541258e-01,2.532594409201127314e-02,-9.688967276197690826e-01,1.933318847656249950e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630092238844322194e-01,1.089247950552847122e-01,2.464723589688463390e-01,-1.096170959472656248e-01,1.114432084456111471e-01,-9.937637227189594080e-01,3.751626194551545973e-03,-1.444596405029296982e-01,2.453439341105699278e-01,2.385481984672704198e-02,-9.691425599803306090e-01,1.933300537109374995e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.629946597346515924e-01,1.090432769980389793e-01,2.464768732844350718e-01,-1.096233978271484444e-01,1.114219528173004403e-01,-9.937638025631977401e-01,4.318928746017382941e-03,-1.444369354248046800e-01,2.454107449826143927e-01,2.330382922746484370e-02,-9.691390497706794394e-01,1.933319091796875000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630509201732732061e-01,1.086642888914158278e-01,2.464244254799733691e-01,-1.096303558349609464e-01,1.115355653750532416e-01,-9.937577361659760689e-01,2.319367746173996853e-03,-1.444692535400390609e-01,2.451382116477952289e-01,2.525141837595842181e-02,-9.691592351415340145e-01,1.933348754882812548e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.631091941959458724e-01,1.091337787217411814e-01,2.459888176262294279e-01,-1.096251907348632787e-01,1.114882684211321584e-01,-9.937561056772322710e-01,4.378176981267665330e-03,-1.444469604492187587e-01,2.449306964422669486e-01,2.320820482363405296e-02,-9.692627781820420951e-01,1.933331665039062619e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630548453176983603e-01,1.086865743936016870e-01,2.463992562015728527e-01,-1.096263809204101602e-01,1.113971267443346624e-01,-9.937715777293383290e-01,2.954902781564246184e-03,-1.444414367675781186e-01,2.451857358477668447e-01,2.460243573156821115e-02,-9.691639051743845545e-01,1.933341674804687438e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.628909921944444061e-01,1.084926166217561466e-01,2.471240362436707694e-01,-1.096317138671875080e-01,1.114051829380722919e-01,-9.937726121680003910e-01,2.209189743735323619e-03,-1.444472503662109497e-01,2.458247798032840714e-01,2.540368956182985360e-02,-9.689813363482875364e-01,1.933333251953124998e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630348302652474990e-01,1.086305667551213799e-01,2.465021615776365749e-01,-1.096270599365234411e-01,1.114064836141513276e-01,-9.937712534644295159e-01,2.700221558813430470e-03,-1.444513702392578036e-01,2.452600886909974964e-01,2.486153161408139606e-02,-9.691384798577994397e-01,1.933312622070312514e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630435305131103130e-01,1.089137301694773768e-01,2.463431706327873227e-01,-1.096280212402343801e-01,1.114218012461737489e-01,-9.937660226866485980e-01,3.778142482506638769e-03,-1.444781951904297035e-01,2.452189644866449858e-01,2.380948412146393495e-02,-9.691753029880444403e-01,1.933349853515625050e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630862582800683303e-01,1.090046032198974807e-01,2.461358478340164579e-01,-1.096220855712890657e-01,1.114816577976106976e-01,-9.937588722438124300e-01,3.891505030488757316e-03,-1.444478302001953041e-01,2.450238745240835014e-01,2.369177734106512126e-02,-9.692275277764388353e-01,1.933351318359375126e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630730820342289222e-01,1.087022749064441851e-01,2.463210386695695031e-01,-1.096222610473632786e-01,1.114345943440020748e-01,-9.937676469246637945e-01,2.862710115349833065e-03,-1.444443206787109357e-01,2.450970620886334106e-01,2.469168596877620303e-02,-9.691840644581090070e-01,1.933327026367187562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.633603804021841910e-01,1.087233045913168217e-01,2.451856857773364040e-01,-1.096257247924804779e-01,1.114966188165695260e-01,-9.937614532692560232e-01,2.584180459827663950e-03,-1.444441528320312418e-01,2.439370440581577482e-01,2.484787787558739511e-02,-9.694726924989938155e-01,1.933318359375000073e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.629927477673191349e-01,1.081674087638547221e-01,2.468699646146972071e-01,-1.096240386962890612e-01,1.114837178464437306e-01,-9.937661099075026927e-01,5.472243088708705211e-04,-1.444526519775390649e-01,2.453901962236535728e-01,2.699500843902181285e-02,-9.690484616966760223e-01,1.933368896484374932e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.631284039301806210e-01,1.087337234899354299e-01,2.460907452931078154e-01,-1.096306686401367220e-01,1.114126363616661508e-01,-9.937695391211345264e-01,3.054107711192794242e-03,-1.444624176025390561e-01,2.448895710352855248e-01,2.447612083200045169e-02,-9.692419808836034711e-01,1.933380859375000149e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630799150388185126e-01,1.086534428113126033e-01,2.463158675645378826e-01,-1.096168518066406306e-01,1.114712354664899457e-01,-9.937644707598418670e-01,2.517999004335497171e-03,-1.444441833496093730e-01,2.450535470308408126e-01,2.503209980525609654e-02,-9.691863355758494336e-01,1.933318481445312598e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.631687672918514131e-01,1.089267147541830849e-01,2.458473032724903806e-01,-1.096217880249023419e-01,1.114959107143589923e-01,-9.937587716365599011e-01,3.487934828965810752e-03,-1.444510650634765747e-01,2.446928433924268065e-01,2.405149908542621173e-02,-9.693022943252909140e-01,1.933351928710937528e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.632647688044314593e-01,1.088150915010569070e-01,2.455203882404927984e-01,-1.096272277832031211e-01,1.115233882437515062e-01,-9.937576104619220141e-01,2.888861998241926132e-03,-1.444548797607421997e-01,2.443021061202280408e-01,2.459852659465665628e-02,-9.693871225854989726e-01,1.933361083984375117e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.631257274294059423e-01,1.086504629316135950e-01,2.461379898925069865e-01,-1.096210632324218781e-01,1.114275314031338837e-01,-9.937690020161672466e-01,2.660052103796951492e-03,-1.444640197753906397e-01,2.448933204662418206e-01,2.486458398078200682e-02,-9.692311458338932484e-01,1.933306762695312431e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.630113134258931895e-01,1.084479774263019530e-01,2.466743732248659060e-01,-1.096224288940429725e-01,1.114521389177758198e-01,-9.937681837802211371e-01,1.793777247540512265e-03,-1.444633636474609295e-01,2.453316753792484373e-01,2.576495872896555905e-02,-9.690967629485230939e-01,1.933336669921875028e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.634093715597149554e-01,1.084812414285987875e-01,2.451003938165437768e-01,-1.096187896728515604e-01,1.115671033218782332e-01,-9.937560497947366400e-01,1.301903501157984991e-03,-1.444702148437500000e-01,2.437112312702886807e-01,2.609087492728137669e-02,-9.694968292873622495e-01,1.933305541992187626e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
