m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
7.747804507229116844e-03,-6.822158743520263802e-02,1.645758726450153864e+00,9.357126581615515803e-02,-6.397534545531513572e-02,1.656138540431928208e+00,-1.133953758141826446e-02,-9.627825008025532594e-02,1.640039656920694977e+00,6.163124606662757216e-02,-9.531662611125815698e-02,1.648531826197223049e+00
7.738610626860691760e-03,-6.823434990886022289e-02,1.645775165121697414e+00,9.356359349268453252e-02,-6.399005631147902662e-02,1.656143188473956807e+00,-1.135000112443901310e-02,-9.629041145130605439e-02,1.640057384502894067e+00,6.162198523731551164e-02,-9.533042768968283398e-02,1.648539398620201490e+00
7.740427556729573277e-03,-6.821347836432752054e-02,1.645753951416903504e+00,9.356487177236626207e-02,-6.397045523564498515e-02,1.656126952433931043e+00,-1.134884042456529851e-02,-9.626988533259078773e-02,1.640040057907252713e+00,6.162261214039117807e-02,-9.531104312798359401e-02,1.648526792148163223e+00
7.747978235103175626e-03,-6.822711611384218999e-02,1.645742848216501741e+00,9.356916272765095077e-02,-6.398630637649690978e-02,1.656143686901936363e+00,-1.133986008090247244e-02,-9.628270404829596119e-02,1.640020163781353624e+00,6.162888977244505850e-02,-9.532571184027119338e-02,1.648530312818958121e+00
7.746034087448408489e-03,-6.821321801715940492e-02,1.645728752366072634e+00,9.356742627163186499e-02,-6.397070163336487925e-02,1.656127181025949024e+00,-1.134275591981671882e-02,-9.627065848813311233e-02,1.640018337902442891e+00,6.162608205975972364e-02,-9.531235911720195575e-02,1.648527584174285687e+00
7.743779592911531617e-03,-6.821123717650101614e-02,1.645771388590236972e+00,9.356586957531293214e-02,-6.396605533332322402e-02,1.656162967992025337e+00,-1.134310900463676719e-02,-9.626764667724106717e-02,1.640049564347769051e+00,6.162652319090431569e-02,-9.530692238520034609e-02,1.648551723601218155e+00
7.741452316124702165e-03,-6.820734922230529962e-02,1.645753293156596575e+00,9.356110776423764985e-02,-6.396370860258641933e-02,1.656165587493128255e+00,-1.134561992404067160e-02,-9.626457432417948046e-02,1.640036082652198468e+00,6.162187148918597118e-02,-9.530527361264756747e-02,1.648556755448076894e+00
7.745554528482415796e-03,-6.821972669045725524e-02,1.645741809594973848e+00,9.356142199284762928e-02,-6.397922583494267124e-02,1.656186552967867653e+00,-1.133956574980432563e-02,-9.627536699051948699e-02,1.640010323366517753e+00,6.162481334956785434e-02,-9.531864923408060741e-02,1.648557896101890519e+00
7.744618956049362929e-03,-6.821301043483618542e-02,1.645761309256245752e+00,9.356522265805060357e-02,-6.396880134345123148e-02,1.656165553087749487e+00,-1.134479880160862986e-02,-9.627253187573098225e-02,1.640063231575860314e+00,6.162329031739131879e-02,-9.531295981277848606e-02,1.648578753736394953e+00
7.746274603247765150e-03,-6.821574805827181065e-02,1.645753168395233335e+00,9.356699291810585684e-02,-6.397330327007150208e-02,1.656157186389911162e+00,-1.134026319346924383e-02,-9.627109346014220415e-02,1.640024959915580061e+00,6.162820721996702111e-02,-9.531265184237387722e-02,1.648537341549275670e+00
7.746286521378271950e-03,-6.820320359574318092e-02,1.645747513177380661e+00,9.356792869910690591e-02,-6.396244370637974019e-02,1.656144594968508299e+00,-1.134135304411699324e-02,-9.625827076245405123e-02,1.640021613670821665e+00,6.162781531386602590e-02,-9.530127114440738179e-02,1.648528172714539553e+00
7.748666236259874052e-03,-6.822484763609545921e-02,1.645753640331393708e+00,9.356901337143930242e-02,-6.398113125942429813e-02,1.656160201204438742e+00,-1.133773637454149608e-02,-9.628096845879198507e-02,1.640028780260546437e+00,6.163042358813120708e-02,-9.532149380779762760e-02,1.648543706328621239e+00
7.743255519483356608e-03,-6.821106941842904059e-02,1.645759572903832790e+00,9.355907093466322988e-02,-6.396691486866318277e-02,1.656203259852329523e+00,-1.134062047785240612e-02,-9.626739124423745741e-02,1.640027279680775552e+00,6.162383479519002033e-02,-9.530755415617032933e-02,1.648573852406812090e+00
7.744811491131112224e-03,-6.821719352833290062e-02,1.645772138720316136e+00,9.356738559168213676e-02,-6.397478946213064344e-02,1.656160853885687567e+00,-1.134355300384309873e-02,-9.627339787404247395e-02,1.640054233361801783e+00,6.162635714173279877e-02,-9.531507567846275730e-02,1.648554277938444557e+00
7.744357399256142360e-03,-6.821455179648319711e-02,1.645757545147589873e+00,9.356573490828157258e-02,-6.396855021132219488e-02,1.656154672312575293e+00,-1.134305537704415751e-02,-9.627241363499558502e-02,1.640044597954747330e+00,6.162590435368597158e-02,-9.531111643727713245e-02,1.648552461928837198e+00
7.744297476314460776e-03,-6.822393725845443679e-02,1.645750270949998928e+00,9.356366602281182554e-02,-6.398386387537960407e-02,1.656166382521949476e+00,-1.134657651778841342e-02,-9.628350397383025894e-02,1.640057297302001782e+00,6.162029331651353026e-02,-9.532754254858570586e-02,1.648583666413549365e+00
7.739058764445430616e-03,-6.822065723876620524e-02,1.645772433445170435e+00,9.356134559017523222e-02,-6.397820945606182141e-02,1.656163503703133033e+00,-1.134797976758710608e-02,-9.627560587725877972e-02,1.640043950221979685e+00,6.162180942175533166e-02,-9.531712288689758728e-02,1.648545014973467060e+00
7.743270262013993849e-03,-6.820867181419860981e-02,1.645747744854425321e+00,9.356586886005091586e-02,-6.396761571737627494e-02,1.656136808015103545e+00,-1.134614883898513171e-02,-9.626527292735871655e-02,1.640035309696494581e+00,6.162367963879505917e-02,-9.530816488286325550e-02,1.648536192121476951e+00
7.747221297655322580e-03,-6.822419429974752036e-02,1.645768140206251839e+00,9.356860645445366775e-02,-6.398313962996360349e-02,1.656167223115292408e+00,-1.133976734192033986e-02,-9.627886558919616922e-02,1.640038132650949221e+00,6.162924049313148883e-02,-9.532157025648331505e-02,1.648546035277506538e+00
7.740271816065763533e-03,-6.821480807550869829e-02,1.645759360828095375e+00,9.355757693598479308e-02,-6.397595550892826166e-02,1.656192955183169557e+00,-1.134466328090787818e-02,-9.626847834407123439e-02,1.640017624167710908e+00,6.162098750248998918e-02,-9.531300538594493499e-02,1.648554473883524496e+00
7.739936746762245134e-03,-6.822070164975778395e-02,1.645798807284764020e+00,9.356204248608533669e-02,-6.397568309458467883e-02,1.656190323258259101e+00,-1.134665036954204259e-02,-9.627668134503232500e-02,1.640073870720905935e+00,6.162302501853023085e-02,-9.531605744578147688e-02,1.648575670611071464e+00
7.740686753965605321e-03,-6.822381307083789925e-02,1.645778083476191478e+00,9.356370124262869403e-02,-6.398055334743565914e-02,1.656162810304144140e+00,-1.134827241389606972e-02,-9.628087357475539898e-02,1.640066367723691743e+00,6.162196364093442541e-02,-9.532188891322106172e-02,1.648563539277222434e+00
