m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
9.152454465623216517e-02,-1.648869432489964426e-01,6.600514698545963121e-02,1.205198589095918260e-01,-1.899389161546680416e-01,6.882510168061066469e-02,1.680214537813357611e-01,-1.892657616867898240e-01,7.249005383027382066e-02,1.420132875837450681e-01,-1.225051920132882721e-01,6.894683537216342306e-02
9.152229822020813144e-02,-1.648838464666305959e-01,6.600784500643365471e-02,1.205183417863020245e-01,-1.899322593041994356e-01,6.885182310624241020e-02,1.680177823485628774e-01,-1.892535619630349442e-01,7.254357644951664463e-02,1.420054061354162622e-01,-1.224964928686348986e-01,6.896547935677711794e-02
9.156604421352124157e-02,-1.648989082974518794e-01,6.591972252070195382e-02,1.205626722572902682e-01,-1.899496719716214088e-01,6.873690924374799283e-02,1.680656597678932551e-01,-1.892748562151796154e-01,7.238345936935840219e-02,1.420555085566932996e-01,-1.225157106682939201e-01,6.882800033372120374e-02
9.153665950137439278e-02,-1.648322539397742703e-01,6.612121626832061227e-02,1.205328428929385298e-01,-1.898831559732473417e-01,6.894174735880799487e-02,1.680378919917569769e-01,-1.892093283489441335e-01,7.256152539175540761e-02,1.420311018855527907e-01,-1.224508671648495972e-01,6.896882475888428676e-02
9.157098383052053592e-02,-1.648217307983198820e-01,6.606217971585995330e-02,1.205674206624532535e-01,-1.898686449636858842e-01,6.891533261130998456e-02,1.680695627016933480e-01,-1.891886864569689852e-01,7.257192729342011595e-02,1.420590179325157132e-01,-1.224342293787896441e-01,6.893231328339574637e-02
9.157078873127597052e-02,-1.648132515015719168e-01,6.602958161234881440e-02,1.205687329737858277e-01,-1.898580266096311919e-01,6.888618958253228675e-02,1.680704598074643230e-01,-1.891745863993585797e-01,7.254752593061705723e-02,1.420555001356517688e-01,-1.224220720132747908e-01,6.890383747748442256e-02
9.152114477113988678e-02,-1.648053292130976788e-01,6.613591270830801450e-02,1.205158390338245122e-01,-1.898511874025835822e-01,6.901591822321517800e-02,1.680144946590531874e-01,-1.891694818968818470e-01,7.271720420995866907e-02,1.420048422979637293e-01,-1.224159539081878800e-01,6.905424717338654039e-02
9.151757226528935141e-02,-1.648147933240168284e-01,6.611001515564102204e-02,1.205115898224002335e-01,-1.898597839139592458e-01,6.900434268512566083e-02,1.680100361191174119e-01,-1.891771728786535156e-01,7.270814723296353810e-02,1.420019455435238553e-01,-1.224249707637894841e-01,6.901010632433238201e-02
9.151219963354970122e-02,-1.648348136698297439e-01,6.614048204215441928e-02,1.205077918003434195e-01,-1.898808379971499427e-01,6.900998372233264899e-02,1.680058062061439428e-01,-1.891987941766745396e-01,7.271942711582844721e-02,1.419931058520030043e-01,-1.224444689918454121e-01,6.909282284494236426e-02
9.151734480407264227e-02,-1.648234567020282204e-01,6.612892218643190434e-02,1.205144023833873562e-01,-1.898676365089362050e-01,6.899971461039099141e-02,1.680126273806114290e-01,-1.891826985808750250e-01,7.270592678780540830e-02,1.419962872713095015e-01,-1.224301634513690062e-01,6.907248898937777548e-02
9.154440140481798216e-02,-1.648780037692305356e-01,6.594447995855962086e-02,1.205418897069605311e-01,-1.899283936527633165e-01,6.875613044366528370e-02,1.680451562899014095e-01,-1.892528429133817636e-01,7.239890709133495195e-02,1.420330334320141497e-01,-1.224939024594017267e-01,6.885403713293367089e-02
9.147827868625488246e-02,-1.648762022788500536e-01,6.604593014031738540e-02,1.204718671058549462e-01,-1.899256855844370928e-01,6.890546791384645486e-02,1.679700717640358609e-01,-1.892489576640489224e-01,7.261344851352087570e-02,1.419628559925070477e-01,-1.224911574250476254e-01,6.901155953736037851e-02
