m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
1.252485809326172039e-01,1.515227966308593799e-01,1.616747436523437553e+00,1.833045501708984448e-01,1.209295196533203137e-01,1.616270629882812448e+00,1.605242919921875122e-01,9.038341522216797319e-02,1.612889038085937532e+00,1.129247055053710924e-01,8.145502471923828092e-02,1.609847290039062573e+00
1.252447814941406168e-01,1.515214385986328183e-01,1.616773193359374972e+00,1.833056030273437498e-01,1.209280700683593723e-01,1.616347290039062523e+00,1.605240936279296871e-01,9.037781524658203280e-02,1.612950561523437631e+00,1.129147720336914074e-01,8.145133972167968583e-02,1.609913696289062557e+00
1.252493515014648506e-01,1.515045166015625000e-01,1.616716552734374979e+00,1.833018646240234528e-01,1.209110565185546882e-01,1.616279052734375110e+00,1.605261688232421935e-01,9.036408996582032116e-02,1.612908691406250039e+00,1.129171829223632878e-01,8.143425750732422030e-02,1.609871704101562440e+00
1.252559585571288991e-01,1.515020904541015678e-01,1.616791137695312575e+00,1.833127288818359457e-01,1.209082336425781334e-01,1.616327148437500139e+00,1.605273895263671924e-01,9.035891723632812067e-02,1.612941894531250142e+00,1.129266281127929705e-01,8.142938995361327648e-02,1.609938964843750098e+00
1.252580566406250040e-01,1.515152893066406270e-01,1.616791992187500027e+00,1.833024139404297037e-01,1.209187240600586022e-01,1.616300659179687571e+00,1.605294342041015676e-01,9.038652801513671897e-02,1.612930908203125124e+00,1.129271316528320385e-01,8.145388793945312900e-02,1.609924072265624950e+00
1.252586822509765552e-01,1.515052490234375104e-01,1.616764404296874957e+00,1.833118438720703069e-01,1.209140243530273523e-01,1.616290161132812431e+00,1.605304718017578069e-01,9.035988616943359253e-02,1.612930786132812599e+00,1.129311828613281249e-01,8.143205261230468395e-02,1.609919189453125066e+00
1.252572937011718901e-01,1.515148315429687420e-01,1.616825317382812432e+00,1.833167572021484337e-01,1.209218826293945309e-01,1.616320312500000078e+00,1.605342407226562629e-01,9.036767578125000366e-02,1.612939575195312614e+00,1.129315643310546957e-01,8.144200134277343461e-02,1.609961669921875060e+00
1.252565612792968797e-01,1.515024871826171904e-01,1.616813598632812488e+00,1.833025512695312664e-01,1.209154129028320312e-01,1.616330810546874996e+00,1.605257568359375053e-01,9.037005615234375289e-02,1.612952270507812536e+00,1.129248275756835895e-01,8.144722747802735086e-02,1.609971191406250002e+00
1.252551040649414194e-01,1.515149993896484359e-01,1.616803222656250094e+00,1.833136596679687536e-01,1.209181594848632857e-01,1.616331909179687498e+00,1.605362243652343757e-01,9.037478637695312012e-02,1.612935791015625009e+00,1.129261169433593837e-01,8.144072723388671997e-02,1.609900512695312536e+00
1.252701492309570286e-01,1.515151672363281299e-01,1.616697509765625096e+00,1.833160858154296857e-01,1.209248352050781294e-01,1.616215209960937482e+00,1.605415344238281250e-01,9.038591766357421953e-02,1.612877563476562637e+00,1.129277343750000051e-01,8.145160675048827847e-02,1.609853637695312534e+00
1.252621459960937544e-01,1.515116729736328272e-01,1.616739868164062566e+00,1.833109893798828272e-01,1.209196090698242271e-01,1.616291137695312630e+00,1.605330047607421984e-01,9.037106323242187489e-02,1.612897949218750071e+00,1.129318389892578212e-01,8.143980407714844494e-02,1.609870117187500060e+00
1.252602996826171766e-01,1.515240783691406412e-01,1.616769897460937466e+00,1.833148651123046868e-01,1.209343719482421919e-01,1.616291748046875032e+00,1.605332489013671926e-01,9.039156341552734286e-02,1.612936889648437511e+00,1.129239044189453145e-01,8.146140289306641469e-02,1.609922851562499924e+00
1.252549972534179601e-01,1.515177307128906248e-01,1.616785034179687441e+00,1.833026123046875011e-01,1.209212951660156299e-01,1.616311279296875014e+00,1.605225677490234315e-01,9.037004852294922008e-02,1.612948364257812628e+00,1.129205474853515606e-01,8.143951416015625389e-02,1.609903320312499941e+00
1.252516784667968841e-01,1.515119171142578214e-01,1.616825195312500130e+00,1.833003540039062629e-01,1.209234085083007865e-01,1.616351318359374956e+00,1.605236816406249989e-01,9.037368011474609941e-02,1.612960571289062450e+00,1.129130783081054717e-01,8.143968963623046675e-02,1.609930297851562608e+00
1.252656173706054588e-01,1.514968414306640532e-01,1.616719360351562607e+00,1.833086090087890641e-01,1.209084396362304775e-01,1.616234619140624940e+00,1.605314941406250084e-01,9.036075592041015181e-02,1.612847290039062464e+00,1.129351425170898454e-01,8.143045043945312811e-02,1.609842651367187516e+00
1.252552261352539165e-01,1.515117492675781274e-01,1.616742065429687569e+00,1.833091735839843806e-01,1.209256362915039074e-01,1.616266723632812541e+00,1.605277252197265525e-01,9.037801361083984408e-02,1.612886718750000004e+00,1.129171447753906238e-01,8.145223999023437633e-02,1.609892089843750096e+00
1.252543869018554745e-01,1.515209960937499989e-01,1.616833007812499945e+00,1.833101196289062540e-01,1.209275054931640697e-01,1.616327880859375066e+00,1.605285491943359288e-01,9.037882232666015481e-02,1.612960571289062450e+00,1.129249954223632835e-01,8.144966125488281583e-02,1.610020751953125107e+00
1.252490463256835940e-01,1.514888153076171806e-01,1.616750976562500108e+00,1.833045654296875104e-01,1.209000701904296843e-01,1.616309204101562536e+00,1.605235900878906330e-01,9.035507202148437833e-02,1.612953247070312512e+00,1.129212722778320382e-01,8.142670440673828447e-02,1.609923339843750023e+00
1.252467803955078229e-01,1.515128021240234324e-01,1.616725708007812568e+00,1.833031921386718832e-01,1.209240112304687531e-01,1.616285888671874948e+00,1.605247192382812660e-01,9.037457275390625711e-02,1.612885620117187502e+00,1.129148025512695386e-01,8.144718170166015403e-02,1.609837890624999934e+00
1.252551040649414194e-01,1.515221405029296975e-01,1.616746704101562626e+00,1.833072814941406337e-01,1.209424743652343787e-01,1.616343872070312493e+00,1.605240325927734524e-01,9.038871002197265692e-02,1.612939331054687564e+00,1.129170150756835939e-01,8.146060180664062289e-02,1.609894287109375099e+00
1.252538299560546908e-01,1.515205993652343763e-01,1.616818847656249947e+00,1.833089599609375175e-01,1.209369735717773509e-01,1.616392822265624973e+00,1.605220794677734431e-01,9.038555908203124711e-02,1.612993652343750028e+00,1.129169082641601624e-01,8.145322418212891380e-02,1.609960571289062559e+00
1.252631759643554610e-01,1.515190734863281208e-01,1.616750244140624959e+00,1.833147125244140585e-01,1.209281005859375036e-01,1.616263549804687560e+00,1.605318298339843686e-01,9.038314819335938055e-02,1.612929809570312623e+00,1.129330139160156232e-01,8.145745086669922697e-02,1.609900878906250110e+00
1.252576293945312502e-01,1.514874267578125155e-01,1.616685546875000101e+00,1.833072662353515681e-01,1.208940048217773400e-01,1.616177612304687594e+00,1.605290527343750107e-01,9.035770416259765458e-02,1.612864746093749968e+00,1.129330673217773529e-01,8.143294525146484164e-02,1.609857055664062564e+00
1.252434158325195224e-01,1.515030822753906381e-01,1.616759521484375073e+00,1.832942352294922028e-01,1.209107818603515627e-01,1.616302001953125123e+00,1.605165863037109342e-01,9.036451721191406106e-02,1.612933227539062431e+00,1.129103012084961000e-01,8.143840026855468650e-02,1.609933959960937466e+00
1.252448425292968792e-01,1.515159912109375062e-01,1.616701660156250053e+00,1.832965393066406379e-01,1.209244689941406242e-01,1.616224731445312424e+00,1.605211334228515696e-01,9.038103485107422397e-02,1.612837036132812596e+00,1.129187393188476607e-01,8.146108245849609242e-02,1.609864257812499977e+00
1.252506713867187482e-01,1.515028076171875127e-01,1.616711669921875094e+00,1.832976989746093743e-01,1.209173812866210923e-01,1.616246337890625107e+00,1.605212860107421979e-01,9.036885070800781961e-02,1.612840576171874929e+00,1.129178390502929702e-01,8.144319152832031616e-02,1.609858642578124943e+00
1.252491607666015583e-01,1.515095214843749927e-01,1.616748046874999956e+00,1.832992248535156299e-01,1.209180297851562558e-01,1.616270629882812448e+00,1.605238189697265616e-01,9.037088775634766202e-02,1.612903198242187530e+00,1.129214019775390682e-01,8.144511413574219427e-02,1.609923095703124973e+00
1.252424163818359470e-01,1.515053405761718763e-01,1.616701538085937528e+00,1.832926330566406192e-01,1.209187240600586022e-01,1.616263427734375036e+00,1.605129394531250031e-01,9.037081909179688066e-02,1.612887939453125030e+00,1.129149932861328171e-01,8.144767761230468917e-02,1.609883544921875131e+00
1.252493209838867194e-01,1.515111236572265763e-01,1.616755615234374943e+00,1.833018035888671904e-01,1.209160461425781291e-01,1.616295654296874940e+00,1.605222473144531370e-01,9.036904144287109808e-02,1.612949829101562482e+00,1.129196701049804685e-01,8.144316864013671775e-02,1.609915893554687560e+00
1.252352828979492183e-01,1.514817199707031159e-01,1.616732910156249980e+00,1.832898406982421957e-01,1.208884506225585964e-01,1.616265502929687514e+00,1.605109100341796935e-01,9.033835601806640414e-02,1.612881103515624970e+00,1.129068679809570319e-01,8.141496276855468561e-02,1.609917846679687514e+00
1.252605133056640674e-01,1.515269470214843650e-01,1.616747070312499979e+00,1.833150177001953152e-01,1.209343643188476591e-01,1.616274291992187528e+00,1.605371246337890523e-01,9.039167022705078824e-02,1.612898315429687424e+00,1.129313659667968706e-01,8.146352386474609020e-02,1.609896850585937456e+00
1.252412719726562484e-01,1.515249176025390554e-01,1.616760742187500099e+00,1.832951812744140763e-01,1.209281234741211020e-01,1.616264892578125112e+00,1.605190277099609319e-01,9.038118743896485230e-02,1.612856201171875004e+00,1.129126663208007836e-01,8.146154785156249634e-02,1.609883666992187434e+00
1.252451095581054719e-01,1.514950408935546999e-01,1.616706909179687512e+00,1.833009643554687484e-01,1.209006042480468834e-01,1.616222412109375117e+00,1.605232391357421795e-01,9.035577392578125755e-02,1.612852050781250046e+00,1.129149703979492186e-01,8.143107604980469316e-02,1.609836303710937555e+00
1.252548599243163974e-01,1.515175933837890621e-01,1.616747680664062603e+00,1.833030700683593861e-01,1.209242630004882801e-01,1.616303955078125076e+00,1.605236663818359333e-01,9.037583923339843894e-02,1.612906005859374936e+00,1.129160308837890703e-01,8.145307159423828547e-02,1.609899902343750133e+00
1.252348327636718661e-01,1.515076293945312458e-01,1.616772583007812569e+00,1.832910614013671946e-01,1.209126434326171923e-01,1.616278198242187436e+00,1.605107116699218683e-01,9.036472320556640514e-02,1.612928833007812424e+00,1.129044647216796843e-01,8.144049835205077748e-02,1.609890258789062445e+00
1.252572860717773573e-01,1.515282897949218888e-01,1.616741821289062520e+00,1.833068237304687487e-01,1.209341049194335993e-01,1.616285522460937596e+00,1.605285339355468910e-01,9.038811492919922308e-02,1.612917480468750053e+00,1.129298706054687462e-01,8.146068572998046986e-02,1.609904907226562543e+00
1.252524490356445308e-01,1.515013732910156230e-01,1.616758422851562571e+00,1.833029785156249925e-01,1.209085235595703106e-01,1.616282836914062493e+00,1.605271606445312638e-01,9.035665130615234963e-02,1.612887084960937578e+00,1.129237747192382846e-01,8.143189239501953669e-02,1.609882324218750105e+00
1.252378005981445441e-01,1.515011596679687600e-01,1.616699340820312525e+00,1.832922058105468655e-01,1.209100494384765662e-01,1.616264160156249963e+00,1.605106048583984368e-01,9.036072540283203447e-02,1.612877807617187464e+00,1.129074401855468812e-01,8.143450927734374734e-02,1.609838500976562559e+00
1.252612838745117141e-01,1.515012817382812571e-01,1.616698608398437598e+00,1.833187408447265743e-01,1.209096603393554764e-01,1.616208374023437644e+00,1.605363311767578072e-01,9.036110687255859142e-02,1.612854248046875050e+00,1.129239959716796943e-01,8.143370819091796942e-02,1.609837646484375107e+00
1.252414855957031392e-01,1.515027923583984470e-01,1.616713378906249998e+00,1.832953796386718737e-01,1.209120864868164086e-01,1.616284057617187520e+00,1.605183410644531183e-01,9.036293792724608975e-02,1.612875244140625108e+00,1.129127807617187479e-01,8.143669891357421808e-02,1.609811767578124941e+00
1.252574691772460891e-01,1.515231933593750024e-01,1.616737304687499988e+00,1.833149261474609493e-01,1.209331588745117259e-01,1.616295898437499989e+00,1.605348663330078141e-01,9.038423156738281672e-02,1.612906860351562610e+00,1.129266815185546863e-01,8.145546722412110030e-02,1.609895019531250027e+00
1.252414321899414096e-01,1.515391998291015785e-01,1.616736206054687486e+00,1.832997589111328152e-01,1.209470748901367160e-01,1.616281616210937466e+00,1.605190124511718663e-01,9.039952850341796686e-02,1.612896606445312520e+00,1.129150772094726640e-01,8.146997833251953813e-02,1.609864990234375126e+00
1.252531967163086069e-01,1.515021362304687647e-01,1.616722167968750012e+00,1.833074493408203276e-01,1.209111633300781335e-01,1.616275268554687505e+00,1.605259857177734339e-01,9.036521148681640747e-02,1.612897460937499972e+00,1.129226379394531327e-01,8.143412017822265758e-02,1.609867309570312432e+00
1.252530136108398473e-01,1.515238342285156192e-01,1.616751098632812633e+00,1.833083496093750042e-01,1.209332962036132886e-01,1.616304687500000004e+00,1.605258483886718712e-01,9.038752746582030817e-02,1.612914184570312548e+00,1.129197006225585997e-01,8.145890045166015447e-02,1.609895874023437479e+00
1.252444152832031254e-01,1.515281524658203260e-01,1.616761108398437452e+00,1.832994537353515585e-01,1.209388732910156306e-01,1.616315673828125021e+00,1.605153045654297006e-01,9.038807678222655906e-02,1.612942260742187495e+00,1.129105529785156270e-01,8.146359252929687156e-02,1.609898803710937631e+00
1.252526550292968888e-01,1.515078430175781365e-01,1.616745361328125075e+00,1.833049774169921986e-01,1.209180679321289059e-01,1.616324951171875135e+00,1.605280303955078092e-01,9.037017059326171720e-02,1.612940673828125115e+00,1.129234695434570279e-01,8.144180297851562333e-02,1.609891845703125046e+00
1.252527084350585906e-01,1.515166015624999918e-01,1.616753173828125112e+00,1.833084106445312667e-01,1.209242477416992145e-01,1.616314697265625044e+00,1.605273590087890612e-01,9.037651062011718694e-02,1.612939941406249966e+00,1.129229278564453098e-01,8.144657897949218739e-02,1.609923950195312425e+00
1.252389373779296822e-01,1.515222625732421946e-01,1.616784545898437564e+00,1.832970275878906263e-01,1.209243927001953101e-01,1.616333618164062624e+00,1.605198059082031392e-01,9.038024902343749778e-02,1.612950805664062459e+00,1.129059219360351585e-01,8.145284271240234297e-02,1.609940917968750052e+00
1.252539749145507864e-01,1.515167999267578169e-01,1.616774902343750098e+00,1.833086547851562609e-01,1.209223632812500004e-01,1.616312866210937615e+00,1.605265808105468817e-01,9.037583160400390614e-02,1.612947753906250004e+00,1.129269943237304757e-01,8.144638824462890891e-02,1.609921142578125020e+00
1.252530975341796804e-01,1.515099792480468777e-01,1.616774291992187473e+00,1.833102722167968823e-01,1.209148788452148460e-01,1.616329589843749970e+00,1.605314483642578116e-01,9.036853027343749734e-02,1.612970703125000016e+00,1.129262847900390637e-01,8.144168090820312622e-02,1.609917724609374989e+00
1.252455749511718897e-01,1.515133819580078145e-01,1.616777709960937504e+00,1.833017883300781248e-01,1.209224777221679648e-01,1.616330810546874996e+00,1.605245971679687411e-01,9.037263488769531339e-02,1.612975341796875073e+00,1.129157714843749966e-01,8.144255065917968550e-02,1.609919677734374943e+00
1.252649612426757764e-01,1.515144653320312507e-01,1.616793212890625053e+00,1.833150939941406155e-01,1.209224548339843802e-01,1.616338378906249984e+00,1.605354156494140649e-01,9.037539672851563344e-02,1.612975708007812425e+00,1.129314880371093816e-01,8.144940185546875600e-02,1.609961303710937486e+00
1.252430572509765638e-01,1.515123443603515752e-01,1.616721801757812438e+00,1.832949371337890543e-01,1.209209442138671903e-01,1.616268432617187445e+00,1.605168457031249940e-01,9.037096405029297619e-02,1.612898925781250048e+00,1.129105529785156270e-01,8.144623565673828058e-02,1.609899902343750133e+00
1.252587661743164160e-01,1.515141601562499940e-01,1.616726806640625069e+00,1.833105926513672046e-01,1.209252014160156208e-01,1.616280883789062539e+00,1.605272369384765641e-01,9.037759399414062311e-02,1.612921264648437436e+00,1.129268646240234458e-01,8.144890594482422086e-02,1.609872436523437589e+00
1.252472763061523442e-01,1.515122680664062471e-01,1.616739501953124991e+00,1.833019256591796875e-01,1.209244155883789085e-01,1.616315917968750071e+00,1.605239715576171899e-01,9.037493133544921564e-02,1.612921020507812608e+00,1.129143447875976536e-01,8.145178985595703802e-02,1.609911621093750078e+00
1.252518920898437471e-01,1.515000152587890614e-01,1.616731079101562552e+00,1.833045806884765760e-01,1.209111709594726525e-01,1.616299560546875069e+00,1.605258178710937400e-01,9.036035919189452925e-02,1.612904663085937607e+00,1.129177169799804731e-01,8.143523406982422497e-02,1.609902832031250064e+00
1.252587890625000144e-01,1.515250701904296837e-01,1.616740112304687615e+00,1.833133087158203278e-01,1.209338531494140584e-01,1.616269165039062594e+00,1.605348052978515794e-01,9.038585662841797097e-02,1.612909545898437491e+00,1.129262237548828152e-01,8.145883941650390592e-02,1.609892822265625023e+00
1.252453994750976629e-01,1.515095062255859271e-01,1.616715209960937427e+00,1.832968597412109324e-01,1.209208374023437588e-01,1.616288940429687626e+00,1.605166931152343657e-01,9.037260437011719605e-02,1.612883056640624924e+00,1.129109039306640666e-01,8.144812774658202748e-02,1.609879150390625124e+00
1.252617111206054679e-01,1.515160064697265718e-01,1.616741210937500117e+00,1.833117218017578098e-01,1.209261932373046911e-01,1.616328247070312640e+00,1.605344085693359291e-01,9.037329101562499578e-02,1.612949584960937432e+00,1.129300994873046887e-01,8.144715881347656949e-02,1.609908691406249925e+00
1.252550277709960913e-01,1.515187530517578263e-01,1.616781127929687534e+00,1.833034820556640743e-01,1.209267730712890593e-01,1.616291259765624932e+00,1.605221099853515743e-01,9.037943267822265425e-02,1.612885498046874977e+00,1.129198913574218782e-01,8.145339202880859386e-02,1.609895019531250027e+00
1.252549514770507910e-01,1.515159606933593750e-01,1.616688842773437607e+00,1.833126983642578145e-01,1.209226913452148416e-01,1.616244506835937456e+00,1.605287475585937540e-01,9.037691497802734231e-02,1.612871459960937504e+00,1.129280090332031306e-01,8.144775390625000333e-02,1.609817626953125025e+00
1.252553634643554792e-01,1.515138702392578030e-01,1.616770874023437443e+00,1.833116760253906408e-01,1.209160919189453121e-01,1.616341064453125087e+00,1.605306549072265665e-01,9.036228179931640736e-02,1.612953735351562612e+00,1.129252395629882777e-01,8.143782043457031827e-02,1.609925292968749977e+00
1.252554473876953123e-01,1.515260314941406228e-01,1.616780395507812607e+00,1.833057708740234437e-01,1.209296569824218764e-01,1.616282104492187566e+00,1.605260009765624996e-01,9.038481903076171775e-02,1.612920166015624934e+00,1.129184951782226526e-01,8.146159362792969316e-02,1.609958984374999957e+00
1.252604598999023378e-01,1.515052032470703136e-01,1.616706298828125110e+00,1.833121185302734324e-01,1.209180145263671902e-01,1.616294311523437610e+00,1.605321655273437564e-01,9.037087249755859641e-02,1.612935668945312484e+00,1.129223175048828104e-01,8.144483184814453602e-02,1.609917358398437637e+00
1.252503738403320244e-01,1.515076904296875082e-01,1.616756225585937568e+00,1.833011627197265736e-01,1.209175872802734364e-01,1.616319213867187576e+00,1.605213775634765638e-01,9.036840057373046742e-02,1.612938842773437464e+00,1.129156875610351635e-01,8.144202423095703303e-02,1.609930419921875133e+00
1.252576370239257830e-01,1.515161895751953036e-01,1.616766601562499961e+00,1.833107299804687673e-01,1.209275054931640697e-01,1.616352050781250105e+00,1.605333099365234273e-01,9.037776184082031705e-02,1.612969360351562464e+00,1.129249649047851523e-01,8.145122528076172153e-02,1.609933837890624941e+00
1.252500381469726642e-01,1.515172119140625051e-01,1.616786621093750043e+00,1.833035736083984402e-01,1.209270172119140674e-01,1.616327392578124966e+00,1.605210418701172037e-01,9.037700653076172208e-02,1.612947387695312429e+00,1.129163436889648459e-01,8.145308685302735108e-02,1.609950073242187640e+00
1.252503738403320244e-01,1.515155487060546868e-01,1.616743041992187546e+00,1.833036499023437405e-01,1.209235610961914148e-01,1.616298583984375092e+00,1.605232696533203107e-01,9.037145996093749745e-02,1.612910522460937468e+00,1.129220581054687506e-01,8.144837951660156838e-02,1.609859375000000092e+00
1.252560272216796944e-01,1.515158996582031403e-01,1.616757812499999947e+00,1.833108825683593679e-01,1.209238967895507888e-01,1.616296752929687441e+00,1.605289611816406170e-01,9.037372589111328236e-02,1.612927734375000144e+00,1.129245910644531281e-01,8.144797515869141302e-02,1.609901977539062612e+00
