position,body,marker,sigma_mm,lam1_mm2,lam2_mm2,lam3_mm2,isotropy
pos_01,drill,m0,0.02051,0.000020,0.000078,0.001165,0.01729
pos_01,drill,m1,0.02117,0.000019,0.000079,0.001247,0.01553
pos_01,drill,m2,0.02147,0.000019,0.000075,0.001289,0.01448
pos_01,drill,m3,0.02110,0.000021,0.000088,0.001227,0.01736
pos_01,anatomy,m0,0.02108,0.000026,0.000079,0.001229,0.02079
pos_01,anatomy,m1,0.02023,0.000025,0.000075,0.001128,0.02209
pos_01,anatomy,m2,0.02187,0.000025,0.000071,0.001338,0.01863
pos_01,anatomy,m3,0.02260,0.000025,0.000077,0.001431,0.01734
pos_02,drill,m0,0.02309,0.000026,0.000095,0.001478,0.01765
pos_02,drill,m1,0.02183,0.000026,0.000096,0.001308,0.01963
pos_02,drill,m2,0.02282,0.000027,0.000094,0.001440,0.01909
pos_02,drill,m3,0.02476,0.000027,0.000095,0.001717,0.01581
pos_02,anatomy,m0,0.02116,0.000025,0.000089,0.001229,0.02051
pos_02,anatomy,m1,0.02044,0.000025,0.000081,0.001148,0.02145
pos_02,anatomy,m2,0.01969,0.000025,0.000085,0.001054,0.02334
pos_02,anatomy,m3,0.01994,0.000027,0.000084,0.001082,0.02485
pos_03,drill,m0,0.01834,0.000020,0.000068,0.000922,0.02150
pos_03,drill,m1,0.01775,0.000018,0.000065,0.000862,0.02130
pos_03,drill,m2,0.01695,0.000018,0.000067,0.000777,0.02284
pos_03,drill,m3,0.01727,0.000019,0.000069,0.000807,0.02355
pos_03,anatomy,m0,0.02566,0.000030,0.000086,0.001858,0.01641
pos_03,anatomy,m1,0.02371,0.000028,0.000078,0.001580,0.01796
pos_03,anatomy,m2,0.02410,0.000029,0.000079,0.001634,0.01776
pos_03,anatomy,m3,0.02375,0.000028,0.000071,0.001593,0.01741
pos_04,drill,m0,0.02351,0.000030,0.000085,0.001542,0.01977
pos_04,drill,m1,0.02194,0.000029,0.000083,0.001332,0.02210
pos_04,drill,m2,0.02348,0.000030,0.000088,0.001536,0.01953
pos_04,drill,m3,0.02497,0.000029,0.000082,0.001759,0.01667
pos_04,anatomy,m0,0.02260,0.000027,0.000080,0.001425,0.01889
pos_04,anatomy,m1,0.02280,0.000025,0.000074,0.001461,0.01700
pos_04,anatomy,m2,0.02252,0.000024,0.000078,0.001420,0.01698
pos_04,anatomy,m3,0.02235,0.000028,0.000078,0.001393,0.01982
pos_05,drill,m0,0.01665,0.000016,0.000081,0.000734,0.02164
pos_05,drill,m1,0.01668,0.000014,0.000084,0.000737,0.01869
pos_05,drill,m2,0.01758,0.000016,0.000083,0.000828,0.01890
pos_05,drill,m3,0.01603,0.000014,0.000077,0.000680,0.02024
pos_05,anatomy,m0,0.02108,0.000025,0.000081,0.001228,0.02030
pos_05,anatomy,m1,0.02110,0.000022,0.000071,0.001243,0.01793
pos_05,anatomy,m2,0.02020,0.000023,0.000072,0.001128,0.02078
pos_05,anatomy,m3,0.01895,0.000022,0.000068,0.000987,0.02275
pos_06,drill,m0,0.01619,0.000015,0.000086,0.000685,0.02241
pos_06,drill,m1,0.01673,0.000014,0.000082,0.000743,0.01931
pos_06,drill,m2,0.01683,0.000016,0.000078,0.000756,0.02176
pos_06,drill,m3,0.01634,0.000015,0.000082,0.000705,0.02133
pos_06,anatomy,m0,0.02322,0.000027,0.000122,0.001467,0.01868
pos_06,anatomy,m1,0.02325,0.000026,0.000111,0.001484,0.01731
pos_06,anatomy,m2,0.02072,0.000026,0.000109,0.001152,0.02295
pos_06,anatomy,m3,0.02364,0.000029,0.000114,0.001534,0.01893
pos_07,drill,m0,0.02279,0.000021,0.000105,0.001432,0.01479
pos_07,drill,m1,0.02276,0.000019,0.000097,0.001438,0.01323
pos_07,drill,m2,0.02314,0.000020,0.000097,0.001490,0.01315
pos_07,drill,m3,0.02268,0.000021,0.000091,0.001432,0.01464
pos_07,anatomy,m0,0.02018,0.000023,0.000084,0.001115,0.02065
pos_07,anatomy,m1,0.02226,0.000024,0.000075,0.001388,0.01694
pos_07,anatomy,m2,0.01989,0.000023,0.000079,0.001084,0.02149
pos_07,anatomy,m3,0.02102,0.000022,0.000074,0.001229,0.01792
pos_08,drill,m0,0.01767,0.000018,0.000089,0.000831,0.02111
pos_08,drill,m1,0.01791,0.000019,0.000089,0.000854,0.02253
pos_08,drill,m2,0.01772,0.000018,0.000089,0.000836,0.02127
pos_08,drill,m3,0.01955,0.000018,0.000087,0.001041,0.01771
pos_08,anatomy,m0,0.02073,0.000030,0.000091,0.001168,0.02534
pos_08,anatomy,m1,0.02067,0.000025,0.000085,0.001172,0.02130
pos_08,anatomy,m2,0.01914,0.000023,0.000097,0.000979,0.02363
pos_08,anatomy,m3,0.02000,0.000026,0.000090,0.001083,0.02441
pos_09,drill,m0,0.01792,0.000020,0.000072,0.000872,0.02253
pos_09,drill,m1,0.01596,0.000018,0.000070,0.000676,0.02642
pos_09,drill,m2,0.01574,0.000017,0.000067,0.000659,0.02646
pos_09,drill,m3,0.01606,0.000017,0.000072,0.000686,0.02442
pos_09,anatomy,m0,0.02029,0.000025,0.000091,0.001120,0.02197
pos_09,anatomy,m1,0.02076,0.000024,0.000078,0.001191,0.01982
pos_09,anatomy,m2,0.01927,0.000020,0.000086,0.001009,0.01936
pos_09,anatomy,m3,0.02038,0.000024,0.000087,0.001136,0.02071
pos_10,drill,m0,0.01836,0.000025,0.000083,0.000903,0.02750
pos_10,drill,m1,0.01910,0.000025,0.000084,0.000986,0.02536
pos_10,drill,m2,0.01968,0.000025,0.000092,0.001045,0.02422
pos_10,drill,m3,0.01961,0.000028,0.000089,0.001037,0.02668
pos_10,anatomy,m0,0.02073,0.000031,0.000086,0.001172,0.02612
pos_10,anatomy,m1,0.02239,0.000031,0.000077,0.001396,0.02237
pos_10,anatomy,m2,0.02017,0.000028,0.000079,0.001114,0.02470
pos_10,anatomy,m3,0.02085,0.000033,0.000084,0.001188,0.02756
