position,body,source,marker,sigma_mm
pos_01,drill,reproj,m0,0.1050
pos_01,drill,reproj,m1,0.1146
pos_01,drill,reproj,m2,0.1207
pos_01,drill,reproj,m3,0.1012
pos_01,anatomy,reproj,m0,0.0174
pos_01,anatomy,reproj,m1,0.0189
pos_01,anatomy,reproj,m2,0.0194
pos_01,anatomy,reproj,m3,0.0176
pos_01,drill,raw,m0,0.0205
pos_01,drill,raw,m1,0.0212
pos_01,drill,raw,m2,0.0215
pos_01,drill,raw,m3,0.0211
pos_01,anatomy,raw,m0,0.0211
pos_01,anatomy,raw,m1,0.0202
pos_01,anatomy,raw,m2,0.0219
pos_01,anatomy,raw,m3,0.0226
pos_02,drill,reproj,m0,0.1230
pos_02,drill,reproj,m1,0.1307
pos_02,drill,reproj,m2,0.1356
pos_02,drill,reproj,m3,0.1190
pos_02,anatomy,reproj,m0,0.0171
pos_02,anatomy,reproj,m1,0.0197
pos_02,anatomy,reproj,m2,0.0191
pos_02,anatomy,reproj,m3,0.0174
pos_02,drill,raw,m0,0.0231
pos_02,drill,raw,m1,0.0218
pos_02,drill,raw,m2,0.0228
pos_02,drill,raw,m3,0.0248
pos_02,anatomy,raw,m0,0.0212
pos_02,anatomy,raw,m1,0.0204
pos_02,anatomy,raw,m2,0.0197
pos_02,anatomy,raw,m3,0.0199
pos_03,drill,reproj,m0,0.1142
pos_03,drill,reproj,m1,0.1228
pos_03,drill,reproj,m2,0.1279
pos_03,drill,reproj,m3,0.1099
pos_03,anatomy,reproj,m0,0.0205
pos_03,anatomy,reproj,m1,0.0218
pos_03,anatomy,reproj,m2,0.0227
pos_03,anatomy,reproj,m3,0.0197
pos_03,drill,raw,m0,0.0183
pos_03,drill,raw,m1,0.0178
pos_03,drill,raw,m2,0.0169
pos_03,drill,raw,m3,0.0173
pos_03,anatomy,raw,m0,0.0257
pos_03,anatomy,raw,m1,0.0237
pos_03,anatomy,raw,m2,0.0241
pos_03,anatomy,raw,m3,0.0237
pos_04,drill,reproj,m0,0.0906
pos_04,drill,reproj,m1,0.0976
pos_04,drill,reproj,m2,0.1036
pos_04,drill,reproj,m3,0.0899
pos_04,anatomy,reproj,m0,0.0197
pos_04,anatomy,reproj,m1,0.0210
pos_04,anatomy,reproj,m2,0.0211
pos_04,anatomy,reproj,m3,0.0193
pos_04,drill,raw,m0,0.0235
pos_04,drill,raw,m1,0.0219
pos_04,drill,raw,m2,0.0235
pos_04,drill,raw,m3,0.0250
pos_04,anatomy,raw,m0,0.0226
pos_04,anatomy,raw,m1,0.0228
pos_04,anatomy,raw,m2,0.0225
pos_04,anatomy,raw,m3,0.0224
pos_05,drill,reproj,m0,0.0821
pos_05,drill,reproj,m1,0.0897
pos_05,drill,reproj,m2,0.0939
pos_05,drill,reproj,m3,0.0778
pos_05,anatomy,reproj,m0,0.0168
pos_05,anatomy,reproj,m1,0.0195
pos_05,anatomy,reproj,m2,0.0191
pos_05,anatomy,reproj,m3,0.0170
pos_05,drill,raw,m0,0.0166
pos_05,drill,raw,m1,0.0167
pos_05,drill,raw,m2,0.0176
pos_05,drill,raw,m3,0.0160
pos_05,anatomy,raw,m0,0.0211
pos_05,anatomy,raw,m1,0.0211
pos_05,anatomy,raw,m2,0.0202
pos_05,anatomy,raw,m3,0.0190
pos_06,drill,reproj,m0,0.0753
pos_06,drill,reproj,m1,0.0835
pos_06,drill,reproj,m2,0.0896
pos_06,drill,reproj,m3,0.0734
pos_06,anatomy,reproj,m0,0.0191
pos_06,anatomy,reproj,m1,0.0194
pos_06,anatomy,reproj,m2,0.0207
pos_06,anatomy,reproj,m3,0.0173
pos_06,drill,raw,m0,0.0162
pos_06,drill,raw,m1,0.0167
pos_06,drill,raw,m2,0.0168
pos_06,drill,raw,m3,0.0163
pos_06,anatomy,raw,m0,0.0232
pos_06,anatomy,raw,m1,0.0232
pos_06,anatomy,raw,m2,0.0207
pos_06,anatomy,raw,m3,0.0236
pos_07,drill,reproj,m0,0.0706
pos_07,drill,reproj,m1,0.0753
pos_07,drill,reproj,m2,0.0798
pos_07,drill,reproj,m3,0.0703
pos_07,anatomy,reproj,m0,0.0178
pos_07,anatomy,reproj,m1,0.0197
pos_07,anatomy,reproj,m2,0.0199
pos_07,anatomy,reproj,m3,0.0180
pos_07,drill,raw,m0,0.0228
pos_07,drill,raw,m1,0.0228
pos_07,drill,raw,m2,0.0231
pos_07,drill,raw,m3,0.0227
pos_07,anatomy,raw,m0,0.0202
pos_07,anatomy,raw,m1,0.0223
pos_07,anatomy,raw,m2,0.0199
pos_07,anatomy,raw,m3,0.0210
pos_08,drill,reproj,m0,0.0326
pos_08,drill,reproj,m1,0.0399
pos_08,drill,reproj,m2,0.0463
pos_08,drill,reproj,m3,0.0318
pos_08,anatomy,reproj,m0,0.0174
pos_08,anatomy,reproj,m1,0.0184
pos_08,anatomy,reproj,m2,0.0200
pos_08,anatomy,reproj,m3,0.0161
pos_08,drill,raw,m0,0.0177
pos_08,drill,raw,m1,0.0179
pos_08,drill,raw,m2,0.0177
pos_08,drill,raw,m3,0.0196
pos_08,anatomy,raw,m0,0.0207
pos_08,anatomy,raw,m1,0.0207
pos_08,anatomy,raw,m2,0.0191
pos_08,anatomy,raw,m3,0.0200
pos_09,drill,reproj,m0,0.0381
pos_09,drill,reproj,m1,0.0439
pos_09,drill,reproj,m2,0.0483
pos_09,drill,reproj,m3,0.0369
