T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
9.787520834937913916e-01,1.719097341365238285e-01,1.117649424715650847e-01,3.731623077392578341e-02,1.579307456375763641e-01,-9.796575657751324107e-01,1.238100698727757493e-01,-8.090605163574218772e-02,1.307755276759444696e-01,-1.035282431448160539e-01,-9.859917161074053249e-01,1.647454223632812464e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.786352443375219146e-01,1.719337720971832184e-01,1.127467806763133434e-01,3.731709289550780989e-02,1.578493095263971691e-01,-9.796684416969525522e-01,1.238278636862643195e-01,-8.090890502929687367e-02,1.317446546258272400e-01,-1.033853101533204338e-01,-9.858776920196659077e-01,1.647461425781250099e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.786284153701451105e-01,1.720196144854092557e-01,1.126750942418529577e-01,3.731847763061523632e-02,1.578636227349322629e-01,-9.795910872704062244e-01,1.244201686117926836e-01,-8.090779113769532016e-02,1.317782275154823768e-01,-1.039738138796261063e-01,-9.858113129702880117e-01,1.647461181640625050e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.787679180581591032e-01,1.719275594738195467e-01,1.115987315047685391e-01,3.731613540649414418e-02,1.579763989164309490e-01,-9.796600689845867960e-01,1.237319951447956035e-01,-8.092605590820312056e-02,1.306017609586251071e-01,-1.034749415582888465e-01,-9.860203428449209051e-01,1.647495605468749957e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.786497573976857822e-01,1.718928526284651537e-01,1.126831822442879438e-01,3.731304931640624933e-02,1.578460791219526427e-01,-9.796983279192523764e-01,1.235953137382120731e-01,-8.090733337402343517e-02,1.316406762793206897e-01,-1.031699253051468340e-01,-9.859141437575857925e-01,1.647437500000000110e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.786619239678699955e-01,1.718851455000140194e-01,1.125892327531634457e-01,3.731344985961913829e-02,1.578896812393990323e-01,-9.797304756763922651e-01,1.232844012396976108e-01,-8.090980529785156417e-02,1.314978598062644111e-01,-1.028770712420838396e-01,-9.859638031281996451e-01,1.647446166992187599e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.787658929389455587e-01,1.719947722488469333e-01,1.115128922524027955e-01,3.731410598754882763e-02,1.579661125731515459e-01,-9.795789381380062277e-01,1.243857356570372275e-01,-8.090403747558594372e-02,1.306293768566440250e-01,-1.041292575383268859e-01,-9.859477996458847482e-01,1.647467895507812585e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.786876760738588699e-01,1.719744683404499375e-01,1.122284052286646461e-01,3.732002639770507640e-02,1.579036812769410436e-01,-9.796208960401725507e-01,1.241343122615171934e-01,-8.091795349121093384e-02,1.312892232452458618e-01,-1.037674432588045204e-01,-9.858982998155493283e-01,1.647443481445312496e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.787422243315782033e-01,1.719243519883872084e-01,1.118287776193963717e-01,3.731864929199218972e-02,1.579663147088210262e-01,-9.796781420950086972e-01,1.236017043514610475e-01,-8.092632293701172708e-02,1.308063520162112692e-01,-1.033090271691947254e-01,-9.860106202154041988e-01,1.647478027343749929e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.787619608204539690e-01,1.718894518405983118e-01,1.117096253544809792e-01,3.731638336181640481e-02,1.579973264146833090e-01,-9.797239487974912509e-01,1.231983319629882528e-01,-8.091766357421875666e-02,1.306210890197745667e-01,-1.029320188211096804e-01,-9.860746070174907230e-01,1.647497314453125083e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
