m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
1.333574066162109273e-01,2.285839996337890589e-01,1.730411621093750130e+00,1.897102203369140649e-01,1.953734893798828032e-01,1.735329956054687539e+00,1.653618774414062631e-01,1.658970184326171993e-01,1.736654052734375009e+00,1.173457107543945388e-01,1.590702972412109395e-01,1.734701538085937633e+00
1.333628692626953050e-01,2.286080169677734419e-01,1.730369750976562537e+00,1.897177276611328178e-01,1.953999023437500149e-01,1.735343017578125036e+00,1.653689117431640654e-01,1.659153594970703138e-01,1.736613525390624968e+00,1.173530960083007807e-01,1.590942840576171913e-01,1.734648437499999973e+00
1.333589630126953141e-01,2.285926818847656417e-01,1.730364135742187504e+00,1.897151184082031261e-01,1.953892517089843850e-01,1.735323364257812528e+00,1.653628387451172022e-01,1.659096374511718763e-01,1.736652832031249982e+00,1.173498992919921879e-01,1.590795898437500078e-01,1.734634643554687550e+00
1.333702850341796919e-01,2.285815124511718921e-01,1.730332885742187576e+00,1.897214202880859457e-01,1.953822784423828174e-01,1.735328125000000110e+00,1.653760223388671957e-01,1.659023132324218830e-01,1.736583496093750068e+00,1.173603134155273425e-01,1.590785980224609375e-01,1.734618652343750123e+00
1.333558349609375027e-01,2.286100921630859484e-01,1.730373046875000043e+00,1.897148742675781319e-01,1.954040222167968688e-01,1.735325439453125007e+00,1.653618011474609351e-01,1.659223175048828158e-01,1.736649658203125002e+00,1.173504486083984388e-01,1.590966033935546919e-01,1.734630737304687642e+00
1.333640289306640692e-01,2.286085815429687584e-01,1.730347045898437575e+00,1.897157592773437429e-01,1.954027862548828043e-01,1.735308349609375078e+00,1.653697052001953105e-01,1.659270019531250140e-01,1.736631225585937521e+00,1.173574752807617222e-01,1.590991668701171868e-01,1.734609619140625059e+00
1.333564300537109504e-01,2.286013641357421966e-01,1.730387451171875091e+00,1.897089691162109348e-01,1.953976287841796833e-01,1.735335937499999925e+00,1.653610839843749902e-01,1.659181365966796995e-01,1.736650024414062576e+00,1.173433456420898413e-01,1.590948028564453109e-01,1.734669799804687607e+00
1.333531494140625107e-01,2.285959167480468845e-01,1.730410766601562456e+00,1.897069854736328220e-01,1.953868255615234528e-01,1.735336914062500124e+00,1.653583068847656323e-01,1.659107208251953125e-01,1.736654418945312583e+00,1.173448257446289139e-01,1.590871429443359297e-01,1.734667602539062603e+00
1.333580932617187409e-01,2.286063690185546893e-01,1.730387695312500140e+00,1.897172241210937638e-01,1.954001464843750091e-01,1.735329101562500087e+00,1.653685760498046775e-01,1.659220733642578216e-01,1.736636718750000030e+00,1.173470687866211004e-01,1.591006469726562456e-01,1.734693115234374972e+00
1.333568267822265729e-01,2.286052856445312531e-01,1.730427856445312607e+00,1.897144165039062469e-01,1.953927001953124909e-01,1.735333007812499995e+00,1.653637542724609444e-01,1.659145965576171999e-01,1.736658081054687441e+00,1.173498764038085895e-01,1.590888519287109448e-01,1.734661010742187592e+00
1.333616943359375029e-01,2.285993804931640561e-01,1.730389770507812619e+00,1.897151031494140605e-01,1.953959350585937615e-01,1.735340942382812557e+00,1.653681182861328203e-01,1.659141082763671837e-01,1.736651611328124956e+00,1.173531494140624964e-01,1.590928802490234328e-01,1.734663452148437646e+00
1.333632049560546928e-01,2.286058044433593728e-01,1.730392700195312550e+00,1.897181549072265716e-01,1.953959960937499962e-01,1.735342651367187461e+00,1.653678131103515636e-01,1.659153747558593794e-01,1.736640869140624988e+00,1.173537826538085943e-01,1.590947265625000107e-01,1.734638061523437580e+00
