m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
-1.408785858154296966e-01,-1.361658325195312658e-01,1.583867431640624934e+00,-1.861538238525390632e-01,-9.012812805175780817e-02,1.583597045898437639e+00,-7.711861419677734641e-02,-7.961124420166015847e-02,1.596045654296875060e+00,-1.487450866699218666e-01,-6.602815246582031949e-02,1.593112548828125030e+00
-1.408759002685546768e-01,-1.361806945800781155e-01,1.583865112304687628e+00,-1.861587371826171899e-01,-9.014242553710938299e-02,1.583640502929687610e+00,-7.712535858154297153e-02,-7.962362670898437411e-02,1.596100219726562575e+00,-1.487452392578124949e-01,-6.603884887695313233e-02,1.593121337890625044e+00
-1.408975982666015592e-01,-1.361870574951171975e-01,1.583964965820312543e+00,-1.861540527343749918e-01,-9.013895416259766480e-02,1.583648681640625000e+00,-7.711920928955078025e-02,-7.962020111083983887e-02,1.596082641601562546e+00,-1.487428283691406283e-01,-6.603382110595702736e-02,1.593127685546875005e+00
-1.408929443359374922e-01,-1.361665039062500138e-01,1.583887084960937441e+00,-1.861734619140625047e-01,-9.013162994384765758e-02,1.583683471679687482e+00,-7.712472534179687367e-02,-7.960400390624999822e-02,1.596099365234375123e+00,-1.487591705322265645e-01,-6.602619934082031017e-02,1.593154052734375048e+00
-1.408878479003906337e-01,-1.361891326904297039e-01,1.583935424804687520e+00,-1.861567993164062462e-01,-9.014272308349609297e-02,1.583643554687500066e+00,-7.711701965332030950e-02,-7.961919403076171686e-02,1.596101074218750027e+00,-1.487500610351562558e-01,-6.603446960449219083e-02,1.593175537109374984e+00
-1.408855590820312642e-01,-1.361757507324218852e-01,1.583897460937500057e+00,-1.861635284423828196e-01,-9.013573455810547363e-02,1.583634521484375002e+00,-7.712641143798827648e-02,-7.961828613281250744e-02,1.596098144531250096e+00,-1.487588806152343734e-01,-6.603583526611328525e-02,1.593178466796875137e+00
-1.408858489990234275e-01,-1.361874084472656232e-01,1.583915527343749963e+00,-1.861691741943359291e-01,-9.014330291748047508e-02,1.583661010742187569e+00,-7.712418365478515558e-02,-7.962374114990235230e-02,1.596097900390625046e+00,-1.487558135986328245e-01,-6.604217529296875500e-02,1.593154174804687573e+00
-1.408841705322265714e-01,-1.361739959716797010e-01,1.583906005859375021e+00,-1.861544494628906421e-01,-9.013395690917969105e-02,1.583640869140624963e+00,-7.710896301269531961e-02,-7.960854339599610086e-02,1.596057250976562480e+00,-1.487464141845703247e-01,-6.603472137451171786e-02,1.593154907226562500e+00
-1.408943481445312507e-01,-1.361671447753906306e-01,1.583873657226562592e+00,-1.861623382568359519e-01,-9.013825988769531838e-02,1.583621093749999931e+00,-7.710896301269531961e-02,-7.960335540771484863e-02,1.595967163085937557e+00,-1.487458343505859426e-01,-6.602863311767578902e-02,1.593104614257812468e+00
-1.408717498779296917e-01,-1.361602630615234288e-01,1.583843139648437592e+00,-1.861473999023437464e-01,-9.012346649169922230e-02,1.583627929687499991e+00,-7.711202239990234963e-02,-7.960554504394531938e-02,1.596015502929687635e+00,-1.487357330322265636e-01,-6.601952362060546642e-02,1.593098754882812607e+00
-1.408867950439453287e-01,-1.361878356933593770e-01,1.583896484375000080e+00,-1.861513519287109342e-01,-9.013963317871094560e-02,1.583604980468749979e+00,-7.713131713867187045e-02,-7.962072753906250522e-02,1.596128295898437521e+00,-1.487613983154296993e-01,-6.603298950195313211e-02,1.593154541015624925e+00
-1.408755645751953167e-01,-1.361888275146484473e-01,1.583864746093750053e+00,-1.861603240966796802e-01,-9.013946533203125167e-02,1.583635986328125078e+00,-7.711248016357422075e-02,-7.962059783935547530e-02,1.596020629882812569e+00,-1.487562866210937473e-01,-6.603424835205078114e-02,1.593157470703125078e+00
-1.408887786865234415e-01,-1.361766510009765618e-01,1.583875854492187596e+00,-1.861674346923828105e-01,-9.015166473388672164e-02,1.583693481445312523e+00,-7.713155364990234575e-02,-7.962491607666015436e-02,1.596124877929687491e+00,-1.487526092529296851e-01,-6.604079437255859497e-02,1.593125610351562527e+00
-1.409077301025390694e-01,-1.361969299316406201e-01,1.583996215820312470e+00,-1.861620635986328265e-01,-9.014520263671875477e-02,1.583609374999999986e+00,-7.713703918457030795e-02,-7.963105773925781283e-02,1.596118164062499956e+00,-1.487668914794921804e-01,-6.604176330566406683e-02,1.593169921874999950e+00
-1.408896789550781181e-01,-1.361677703857421817e-01,1.583939086914062599e+00,-1.861666564941406310e-01,-9.013185882568360008e-02,1.583700317382812583e+00,-7.712298583984375511e-02,-7.960258483886718806e-02,1.596103271484375030e+00,-1.487678985595703163e-01,-6.602696990966797075e-02,1.593228027343750020e+00
-1.408834381103515609e-01,-1.361895294189453265e-01,1.583874877929687619e+00,-1.861549987792968652e-01,-9.014733886718749589e-02,1.583630493164062569e+00,-7.711670684814453391e-02,-7.962437438964843628e-02,1.596050659179687470e+00,-1.487670593261718743e-01,-6.604880523681640192e-02,1.593192260742187560e+00
-1.408834838867187578e-01,-1.361708526611328240e-01,1.583865966796875080e+00,-1.861587219238281243e-01,-9.013536071777343561e-02,1.583616821289062448e+00,-7.712046051025391036e-02,-7.961038208007813199e-02,1.596060180664062633e+00,-1.487532348632812640e-01,-6.602884674072265203e-02,1.593122680664062596e+00
-1.408870697021484542e-01,-1.361768646240234526e-01,1.583902709960937516e+00,-1.861616058349609415e-01,-9.013440704345702936e-02,1.583637084960937580e+00,-7.711862945556641202e-02,-7.961186218261719072e-02,1.596056762695312603e+00,-1.487460327148437400e-01,-6.602619171142577736e-02,1.593140624999999977e+00
-1.408787384033203249e-01,-1.361959838867187467e-01,1.583878784179687527e+00,-1.861493988037109526e-01,-9.015026092529297708e-02,1.583595581054687562e+00,-7.712171936035155939e-02,-7.963211822509766447e-02,1.596079101562499991e+00,-1.487470855712890727e-01,-6.604679870605469072e-02,1.593117797851562489e+00
-1.408822174072265621e-01,-1.361748504638671808e-01,1.583877319335937450e+00,-1.861357727050781397e-01,-9.013896942138671653e-02,1.583578125000000059e+00,-7.710713958740234020e-02,-7.961653137207030939e-02,1.596033447265625016e+00,-1.487388763427734406e-01,-6.603749847412108964e-02,1.593101562500000012e+00
-1.408880157470703276e-01,-1.361789703369140625e-01,1.583888427734374993e+00,-1.861427612304687451e-01,-9.013304901123046775e-02,1.583578857421874986e+00,-7.713028717041016391e-02,-7.960620117187500178e-02,1.596082397460937496e+00,-1.487300720214843885e-01,-6.602568817138672330e-02,1.593051513671875030e+00
-1.408859558105468868e-01,-1.361812133789062629e-01,1.583901123046875137e+00,-1.861532440185546811e-01,-9.013832855224609975e-02,1.583631103515624972e+00,-7.712383270263671597e-02,-7.962008666992187456e-02,1.596122314453125135e+00,-1.487501678466796873e-01,-6.603460693359375355e-02,1.593145629882812608e+00
-1.408686065673828147e-01,-1.361787567138671995e-01,1.583837158203124984e+00,-1.861610565185546906e-01,-9.014788055419921398e-02,1.583655273437500011e+00,-7.711454772949219438e-02,-7.962334442138671586e-02,1.596059204101562434e+00,-1.487385406494140527e-01,-6.604094696044922330e-02,1.593115234375000133e+00
-1.408935394287109399e-01,-1.361847686767578280e-01,1.583923461914062525e+00,-1.861640930175781361e-01,-9.014306640624999978e-02,1.583673828125000016e+00,-7.714250946044921842e-02,-7.962015533447265592e-02,1.596140014648437466e+00,-1.487640380859374944e-01,-6.603775024414063055e-02,1.593193115234375012e+00
-1.408744354248046837e-01,-1.361817626953125138e-01,1.583848999023437454e+00,-1.861513366699218686e-01,-9.014146423339844394e-02,1.583605712890625128e+00,-7.711285400390624489e-02,-7.961811065673828069e-02,1.596046752929687562e+00,-1.487549285888671857e-01,-6.603936004638671919e-02,1.593134521484375066e+00
-1.408711090087890749e-01,-1.361899261474609490e-01,1.583862670898437575e+00,-1.861559448242187664e-01,-9.015164184570312322e-02,1.583626953125000014e+00,-7.711544799804687100e-02,-7.962292480468749489e-02,1.596072021484375103e+00,-1.487349395751953185e-01,-6.604340362548828669e-02,1.593106445312500119e+00
-1.408928375244140607e-01,-1.361865081787109466e-01,1.583901733398437539e+00,-1.861618652343750013e-01,-9.014391326904297452e-02,1.583631958007812424e+00,-7.713112640380859197e-02,-7.962683868408203247e-02,1.596084228515624925e+00,-1.487544097900390661e-01,-6.604394531250000477e-02,1.593119750976562443e+00
