T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
9.047001715400149191e-01,4.121737739537993939e-01,-1.078442380479832791e-01,2.016193018716499474e-01,-4.105134107354490025e-01,9.110535948012464802e-01,3.821108485865027521e-02,-3.436573143961264565e-01,1.140014878052752895e-01,9.701930962892331076e-03,9.934332052603109808e-01,2.958259357725536720e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046484296848826823e-01,4.121121020259597700e-01,-1.085119073301223230e-01,2.015824167061979755e-01,-4.104927813035291195e-01,9.110755044896076127e-01,3.790912313283408691e-02,-3.437240678275551575e-01,1.144853491341539103e-01,1.024892593164350441e-02,9.933720674303656573e-01,2.957728170083480101e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046292430821121222e-01,4.121238793726793026e-01,-1.086270712644789582e-01,2.014941556538112355e-01,-4.104656426325350993e-01,9.110731742994949700e-01,3.825738216478159065e-02,-3.435976065292780657e-01,1.147339913841792236e-01,9.978933943835069723e-03,9.933461290498895035e-01,2.959756289719235323e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046552205474069908e-01,4.120971687534001893e-01,-1.085120059797732711e-01,2.015399542108510800e-01,-4.105224149703704528e-01,9.110782093511554658e-01,3.752123735149712203e-02,-3.438150342036573326e-01,1.143253197818299843e-01,1.060282749666557368e-02,9.933867833356041510e-01,2.957151838164178148e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.047246599691647351e-01,4.120995093986336566e-01,-1.079225833506831933e-01,2.017328307158883782e-01,-4.104711922490267839e-01,9.110841942029354046e-01,3.793404021786583868e-02,-3.437067736582780642e-01,1.139591592516468743e-01,9.979249821184619368e-03,9.934353147516271632e-01,2.957093620613000517e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.047246485883907452e-01,4.121960459076090544e-01,-1.075533819772553218e-01,2.016773684441821035e-01,-4.104816426405981655e-01,9.110490006032898602e-01,3.865927514611983834e-02,-3.435470173314810749e-01,1.139216015147672262e-01,9.172689784320285297e-03,9.934473969317305642e-01,2.959143073149559378e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046526863495413240e-01,4.121523952530833923e-01,-1.083232208148598996e-01,2.014881928677543788e-01,-4.105062122768666222e-01,9.110603201312245103e-01,3.812797876220597182e-02,-3.436485506679125557e-01,1.144035260062334358e-01,9.974776666030873984e-03,9.933842846893664591e-01,2.959272729913773325e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046236648559078386e-01,4.121479099308238414e-01,-1.085823435109033452e-01,2.015056713610722250e-01,-4.105059927169166789e-01,9.110610220575326990e-01,3.811356754467998958e-02,-3.437193191532469383e-01,1.146335680599928353e-01,1.009526756147103958e-02,9.933565475934094113e-01,2.958553974388147267e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046740135308970476e-01,4.121670878832224272e-01,-1.080889490547589510e-01,2.016336135793052042e-01,-4.105435272331205976e-01,9.110525406848056784e-01,3.791148056655708337e-02,-3.437629246299859220e-01,1.141005761987478745e-01,1.007768711681600315e-02,9.934180885878257650e-01,2.956967729593413807e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046749242722952333e-01,4.121383711825932772e-01,-1.081907777579790286e-01,2.016076142896445211e-01,-4.104599497083638027e-01,9.110699242958539834e-01,3.839560819878979486e-02,-3.436374446396934790e-01,1.143936671250857240e-01,9.672437257819960568e-03,9.933884098776113447e-01,2.958645905157586409e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046902904394292788e-01,4.121427333882118349e-01,-1.080455723290625752e-01,2.016286551600537935e-01,-4.105055258069764124e-01,9.110649347353306782e-01,3.802496518927560992e-02,-3.437310745860954753e-01,1.141082453925185008e-01,9.952487679022598011e-03,9.934184698919382717e-01,2.957438238332179559e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046698097048015974e-01,4.120929602191191754e-01,-1.084063076878902659e-01,2.016610654999757557e-01,-4.103873811807222105e-01,9.110920058113868292e-01,3.864653042916525727e-02,-3.435284518338801441e-01,1.146940834407192827e-01,9.526231386401119022e-03,9.933551822682892274e-01,2.959353416456731445e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046415090403797654e-01,4.121500001065457885e-01,-1.084256313484926043e-01,2.015777431572569611e-01,-4.105304060575134528e-01,9.110586788363914668e-01,3.790606045400311125e-02,-3.438109392136377562e-01,1.144050952685154027e-01,1.022062273365368333e-02,9.933816049472321552e-01,2.956811891318815722e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046790975276171043e-01,4.121195605348509927e-01,-1.082275303292919294e-01,2.016317788643247622e-01,-4.104677994519421169e-01,9.110760336159766659e-01,3.816603966434160833e-02,-3.437218460768018402e-01,1.143324805542882544e-01,9.895897894642983680e-03,9.933932529945843637e-01,2.957571849828981581e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.047236698864828952e-01,4.120968010382114466e-01,-1.079412234561355904e-01,2.016501247004344188e-01,-4.104575708245802312e-01,9.110863045860881915e-01,3.803062119464955398e-02,-3.436426339514525585e-01,1.140160677269628081e-01,9.898089196352606589e-03,9.934295969671640414e-01,2.958068234812587516e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046432585567492080e-01,4.121681274163284114e-01,-1.083420947275071516e-01,2.015556060116600601e-01,-4.104767872231410153e-01,9.110569873886875669e-01,3.852236858264788955e-02,-3.435600828892139691e-01,1.145835149521740454e-01,9.622913922841610720e-03,9.933670105398300088e-01,2.959948587167300360e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.047156433716914137e-01,4.121201649625219621e-01,-1.079192951691690106e-01,2.016463660542149317e-01,-4.104385672653466099e-01,9.110794099750100239e-01,3.839910442649819428e-02,-3.435484970562018847e-01,1.141480930183070008e-01,9.553970423403697690e-03,9.934178046066179935e-01,2.959399497945871538e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046827618975016305e-01,4.121431702740528391e-01,-1.081069263366688654e-01,2.015983652422670969e-01,-4.104305658369586385e-01,9.110708920045061943e-01,3.868566102404966123e-02,-3.435516356376038805e-01,1.144371047880135134e-01,9.372136286185630411e-03,9.933862854444743817e-01,2.959585319881650189e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.047122563825220620e-01,4.121448611861954769e-01,-1.078533566888737055e-01,2.017169866804613410e-01,-4.105119605107226399e-01,9.110642988296427935e-01,3.797069495932936523e-02,-3.437567857125645721e-01,1.139107695913282453e-01,9.922539788944475039e-03,9.934414324836911003e-01,2.956690984089893615e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046957338541359306e-01,4.121191901235893296e-01,-1.080897880375526615e-01,2.016856502318033484e-01,-4.103902087791410080e-01,9.110831475807414925e-01,3.882492411559500256e-02,-3.434559022140818985e-01,1.144792805897174998e-01,9.234247465034976787e-03,9.933827172794053029e-01,2.960189571617999338e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046841814295557560e-01,4.120899177790544043e-01,-1.082978833402915009e-01,2.016189228609128747e-01,-4.104395751060032071e-01,9.110890841817163022e-01,3.815803810110842548e-02,-3.436497816809899186e-01,1.143935621350203047e-01,9.928763758609668311e-03,9.933858930910421936e-01,2.958234986955721180e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.047185535041019078e-01,4.120918355051185200e-01,-1.080030465101234627e-01,2.017205814766833694e-01,-4.104214362350980805e-01,9.110910032895023214e-01,3.830702812340831820e-02,-3.435918369533123573e-01,1.141866175353526969e-01,9.669686393600034763e-03,9.934122575954479339e-01,2.958267930869891149e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046797137750308693e-01,4.121868241006687028e-01,-1.079659090719513881e-01,2.015801525628205249e-01,-4.105611275552736861e-01,9.110442390135159441e-01,3.792037843727414509e-02,-3.437951240120774021e-01,1.139919998266138990e-01,1.002080825523648383e-02,9.934311286533361596e-01,2.956928861643508544e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046657038633824088e-01,4.121378794647980737e-01,-1.082697213611942127e-01,2.015958380734169109e-01,-4.104509148651706019e-01,9.110705847190861961e-01,3.847643624307091337e-02,-3.435543616390031585e-01,1.144989551904974784e-01,9.631093908906953466e-03,9.933766814710331960e-01,2.959717478959944525e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046802250832112202e-01,4.121236416211922493e-01,-1.082025617084809155e-01,2.015981159344052975e-01,-4.104880516655858291e-01,9.110728673009534928e-01,3.802354412480313250e-02,-3.436928671689273296e-01,1.142508196171120038e-01,1.001671028365134358e-02,9.934014373514424845e-01,2.958198754744807424e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046905361605948048e-01,4.121220281562222310e-01,-1.081224661661846914e-01,2.016433492548639905e-01,-4.104989842522446253e-01,9.110727897645977125e-01,3.790719824029165769e-02,-3.437699346584388582e-01,1.141298283067631730e-01,1.008987903571108118e-02,9.934146045995668750e-01,2.956807224403323886e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046342562359673822e-01,4.121341584723057783e-01,-1.085462936480217633e-01,2.015529890353601750e-01,-4.105020028700048784e-01,9.110665249701013213e-01,3.802489603691787401e-02,-3.436830437977049790e-01,1.145642530814594273e-01,1.015984740182144033e-02,9.933638857018404211e-01,2.958532268429756584e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.047037072566799232e-01,4.120607573525176814e-01,-1.082457127376838524e-01,2.016354129633851078e-01,-4.104274211989449306e-01,9.111010017932668070e-01,3.800390057993209558e-02,-3.435920846901145409e-01,1.142826933704465531e-01,1.004473898989051428e-02,9.933974880251215112e-01,2.958693478873495319e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046554628728896708e-01,4.121676411847526311e-01,-1.082419930268982283e-01,2.015924830432404002e-01,-4.104657167268649931e-01,9.110584476228191786e-01,3.860570433239313148e-02,-3.435876743189562044e-01,1.145268042256443602e-01,9.504765925375077001e-03,9.933746878889985199e-01,2.959258906111184029e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046418829892172164e-01,4.121290125549896821e-01,-1.085022605855424371e-01,2.015992520407935973e-01,-4.105235491103745860e-01,9.110666306068343490e-01,3.778902248712106421e-02,-3.437851429356004185e-01,1.144267414879303613e-01,1.035720064300451639e-02,9.933776971662365840e-01,2.957013599094111544e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046572091412312666e-01,4.121681344292024152e-01,-1.082255187557420589e-01,2.015862946740530348e-01,-4.105366485882979699e-01,9.110522600559741724e-01,3.799262576856186208e-02,-3.437950691674875325e-01,1.142584531432439959e-01,1.006023896597793045e-02,9.934001195275046214e-01,2.956802948769332584e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046901939562973505e-01,4.120916665742397900e-01,-1.082409871508135529e-01,2.015983029746030164e-01,-4.103857486264747001e-01,9.110932050362028356e-01,3.863559319005480802e-02,-3.434747235158070455e-01,1.145390338862912055e-01,9.467316247227958517e-03,9.933736354662680013e-01,2.960478390671494875e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046361243791412043e-01,4.121265120676858573e-01,-1.085597555229875083e-01,2.015444330993370059e-01,-4.105317711777262679e-01,9.110665701488330770e-01,3.770105583296774060e-02,-3.437733359905546515e-01,1.144427687622341233e-01,1.046149167973546741e-02,9.933747580192828774e-01,2.957319892490528623e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.047042525911345168e-01,4.120801393031924831e-01,-1.081673432019949477e-01,2.016421115759882143e-01,-4.104353181297116238e-01,9.110935126993432442e-01,3.809804127424553516e-02,-3.436430093039511968e-01,1.142500108327308694e-01,9.928237962153996579e-03,9.934024185171324017e-01,2.958353279060248475e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.046459151612921135e-01,4.121464275779612163e-01,-1.084024465439456797e-01,2.015892720008277128e-01,-4.104515269566433866e-01,9.110669033523539628e-01,3.855699203662804608e-02,-3.435264347304670673e-01,1.146530078146598131e-01,9.613524362956381991e-03,9.933590830854543974e-01,2.960106551295820232e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
