config,body,marker,sigma_mm,lam1_mm2,lam2_mm2,lam3_mm2,isotropy
cfg_01,anatomy,m0,0.02314,0.000024,0.000082,0.001500,0.01610
cfg_01,anatomy,m1,0.02129,0.000025,0.000076,0.001259,0.01978
cfg_01,anatomy,m2,0.02171,0.000022,0.000075,0.001317,0.01681
cfg_01,anatomy,m3,0.02198,0.000023,0.000076,0.001350,0.01684
cfg_01,drill,m0,0.01978,0.000025,0.000059,0.001090,0.02307
cfg_01,drill,m1,0.01689,0.000022,0.000060,0.000775,0.02783
cfg_01,drill,m2,0.01800,0.000021,0.000066,0.000885,0.02416
cfg_01,drill,m3,0.02024,0.000026,0.000066,0.001137,0.02315
cfg_02,anatomy,m0,0.02778,0.000037,0.000113,0.002165,0.01695
cfg_02,anatomy,m1,0.02674,0.000040,0.000108,0.001997,0.02014
cfg_02,anatomy,m2,0.02571,0.000038,0.000101,0.001844,0.02074
cfg_02,anatomy,m3,0.02669,0.000042,0.000123,0.001972,0.02141
cfg_02,drill,m0,0.01923,0.000019,0.000098,0.000992,0.01877
cfg_02,drill,m1,0.01794,0.000019,0.000094,0.000852,0.02234
cfg_02,drill,m2,0.01904,0.000019,0.000087,0.000981,0.01925
cfg_02,drill,m3,0.01922,0.000019,0.000096,0.000994,0.01862
cfg_03,anatomy,m0,0.02352,0.000028,0.000082,0.001550,0.01780
cfg_03,anatomy,m1,0.02395,0.000026,0.000072,0.001623,0.01576
cfg_03,anatomy,m2,0.02208,0.000030,0.000089,0.001343,0.02269
cfg_03,anatomy,m3,0.02231,0.000029,0.000079,0.001386,0.02082
cfg_03,drill,m0,0.01915,0.000025,0.000072,0.001004,0.02487
cfg_03,drill,m1,0.01860,0.000021,0.000075,0.000942,0.02235
cfg_03,drill,m2,0.01914,0.000021,0.000077,0.001001,0.02132
cfg_03,drill,m3,0.01840,0.000023,0.000075,0.000918,0.02541
cfg_04,anatomy,m0,0.01623,0.000015,0.000054,0.000722,0.02011
cfg_04,anatomy,m1,0.01741,0.000014,0.000053,0.000843,0.01631
cfg_04,anatomy,m2,0.01458,0.000015,0.000055,0.000568,0.02666
cfg_04,anatomy,m3,0.01524,0.000015,0.000056,0.000626,0.02411
cfg_04,drill,m0,0.02049,0.000016,0.000072,0.001172,0.01340
cfg_04,drill,m1,0.01962,0.000017,0.000062,0.001076,0.01569
cfg_04,drill,m2,0.01925,0.000017,0.000059,0.001036,0.01607
cfg_04,drill,m3,0.02078,0.000020,0.000059,0.001216,0.01648
cfg_05,anatomy,m0,0.01992,0.000118,0.000382,0.000690,0.17175
cfg_05,anatomy,m1,0.02107,0.000120,0.000430,0.000782,0.15289
cfg_05,anatomy,m2,0.01930,0.000123,0.000420,0.000574,0.21485
cfg_05,anatomy,m3,0.02000,0.000120,0.000412,0.000669,0.17872
cfg_05,drill,m0,0.02249,0.000119,0.000419,0.000980,0.12113
cfg_05,drill,m1,0.02323,0.000125,0.000446,0.001048,0.11918
cfg_05,drill,m2,0.02318,0.000129,0.000473,0.001010,0.12813
cfg_05,drill,m3,0.02294,0.000123,0.000441,0.001014,0.12177
