config,body,marker,sigma_mm
cfg_01,Anatomy,m0,0.0231
cfg_01,Anatomy,m1,0.0213
cfg_01,Anatomy,m2,0.0217
cfg_01,Anatomy,m3,0.0220
cfg_01,Drill,m0,0.0198
cfg_01,Drill,m1,0.0169
cfg_01,Drill,m2,0.0180
cfg_01,Drill,m3,0.0202
cfg_02,Anatomy,m0,0.0278
cfg_02,Anatomy,m1,0.0267
cfg_02,Anatomy,m2,0.0257
cfg_02,Anatomy,m3,0.0267
cfg_02,Drill,m0,0.0192
cfg_02,Drill,m1,0.0179
cfg_02,Drill,m2,0.0190
cfg_02,Drill,m3,0.0192
cfg_03,Anatomy,m0,0.0235
cfg_03,Anatomy,m1,0.0240
cfg_03,Anatomy,m2,0.0221
cfg_03,Anatomy,m3,0.0223
cfg_03,Drill,m0,0.0192
cfg_03,Drill,m1,0.0186
cfg_03,Drill,m2,0.0191
cfg_03,Drill,m3,0.0184
cfg_04,Anatomy,m0,0.0162
cfg_04,Anatomy,m1,0.0174
cfg_04,Anatomy,m2,0.0146
cfg_04,Anatomy,m3,0.0152
cfg_04,Drill,m0,0.0205
cfg_04,Drill,m1,0.0196
cfg_04,Drill,m2,0.0192
cfg_04,Drill,m3,0.0208
cfg_05,Anatomy,m0,0.0199
cfg_05,Anatomy,m1,0.0211
cfg_05,Anatomy,m2,0.0193
cfg_05,Anatomy,m3,0.0200
cfg_05,Drill,m0,0.0225
cfg_05,Drill,m1,0.0232
cfg_05,Drill,m2,0.0232
cfg_05,Drill,m3,0.0229
